Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses01F_impro05_F000 [004.2400-005.2300]: Hi.,N/A,N/A,N/A,N/A,0,N/A,['hi']
2,Ses01F_impro05_M000 [003.6100-005.1900]: Hi.,N/A,N/A,N/A,N/A,0,N/A,['hi']
3,Thanks for waiting.,6.140000000000001,3.835,6.015,positive,2 out of 2,"['thanks', 'wait']","['thanks', 'wait']"
4,Ses01F_impro05_F001 [005.2600-007.1600]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
5,This is the fourth line that I have been in.,4.82,3.24,4.89,neutral,1 out of 2,['line'],"['fourth', 'line']"
6,Ses01F_impro05_M001 [005.2100-006.4400]: Can I help you?,6.95,4.29,6.89,positive,1 out of 1,['help'],['help']
7,Ses01F_impro05_M002 [006.6000-007.7100]: Uh huh.,N/A,N/A,N/A,N/A,0,N/A,"['uh', 'huh']"
8,Ses01F_impro05_F002 [007.3500-008.8500]: I need my bag.,5.25,3.55,5.34,neutral,2 out of 2,"['need', 'bag']","['need', 'bag']"
9,Ses01F_impro05_M003 [008.3200-009.8000]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
10,"Ses01F_impro05_F003 [009.2000-013.0200]: I flew in over three hours ago, I've been in four different lines.",5.345,3.385,5.550000000000001,neutral,6 out of 7,"['fly', 'three', 'hour', 'four', 'different', 'line']","['fly', 'three', 'hour', 'ago', 'four', 'different', 'line']"
11,Ses01F_impro05_M004 [012.2600-013.7800]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
12,Ses01F_impro05_F004 [013.0400-022.7400]: I waited the entire baggage- I waited for the whole baggage carousel four times.,5.26,3.62,5.65,neutral,9 out of 9,"['wait', 'entire', 'baggage', 'wait', 'whole', 'baggage', 'carousel', 'four', 'time']","['wait', 'entire', 'baggage', 'wait', 'whole', 'baggage', 'carousel', 'four', 'time']"
13,They told me to go to the next one.,6.09,3.86,5.33,positive,3 out of 4,"['tell', 'go', 'one']","['tell', 'go', 'next', 'one']"
14,I waited through that for three planes and now I'm here.,5.43,3.62,5.31,neutral,3 out of 3,"['wait', 'three', 'plane']","['wait', 'three', 'plane']"
15,Ses01F_impro05_M005 [021.8400-025.9000]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
16,Great.,7.5,4.14,6.65,positive,1 out of 1,['great'],['great']
17,I'm really sorry that you had to do that.,4.81,4.62,5.65,neutral,1 out of 2,['sorry'],"['really', 'sorry']"
18,What's your last name?,5.62,3.04,5.14,neutral,1 out of 2,['name'],"['last', 'name']"
19,Let's start there.,6.18,3.76,5.779999999999999,positive,2 out of 2,"['let', 'start']","['let', 'start']"
20,Ses01F_impro05_F005 [025.3500-026.7600]: Nash.,N/A,N/A,N/A,N/A,0,N/A,['nash']
21,Ses01F_impro05_M006 [025.9900-027.7272]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
22,"Ses01F_impro05_F006 [028.2400-029.9100]: No G.
Ses01F_impro05_M007 [028.2900-034.1425]: all right- okay.",7.32,5.0,7.16,positive,1 out of 2,['right'],"['right', 'okay']"
23,And you lost your bag?,4.32,4.43,5.005,neutral,2 out of 2,"['lose', 'bag']","['lose', 'bag']"
24,Is that- that the issue?,3.95,4.55,5.47,negative,1 out of 1,['issue'],['issue']
25,Ses01F_impro05_F007 [032.1900-033.5000]: Yes.,N/A,N/A,N/A,N/A,0,N/A,['yes']
26,Ses01F_impro05_F008 [033.7800-035.9000]: Flight seven fourteen.,5.42,3.8,5.33,neutral,3 out of 3,"['flight', 'seven', 'fourteen']","['flight', 'seven', 'fourteen']"
27,Ses01F_impro05_M008 [034.7000-036.5200]: Uh-huh.,N/A,N/A,N/A,N/A,0,N/A,[]
28,"Ses01F_impro05_F009 [036.7100-044.0300]: Am I going to be getting, like, free tickets, free mileage.",6.32,4.4,5.65,positive,7 out of 7,"['go', 'get', 'like', 'free', 'ticket', 'free', 'mileage']","['go', 'get', 'like', 'free', 'ticket', 'free', 'mileage']"
29,When can I expect my bag here?,5.5,4.1450000000000005,5.255,neutral,2 out of 2,"['expect', 'bag']","['expect', 'bag']"
30,Ses01F_impro05_M009 [036.9100-042.7600]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
31,"Yeah, I don't see- I don't see any--
Ses01F_impro05_M010 [043.8600-049.9700]: I don't see any record of it, and I-usually when I don't see a record of it, that means um-
Ses01F_impro05_M011 [049.9700-070.2600]: we've mistakenly lost your baggage.",3.7300000000000004,6.1,4.17,negative,9 out of 12,"['neg-see', 'neg-see', 'neg-see', 'neg-record', 'neg-see', 'neg-record', 'mean', 'lose', 'baggage']","['yeah', 'see', 'see', 'see', 'record', 'see', 'record', 'mean', 'um', 'mistakenly', 'lose', 'baggage']"
32,We're very sorry.,4.81,4.62,5.65,neutral,1 out of 1,['sorry'],['sorry']
33,On behalf of Jet Blue I would like to apologize for any inconvenience.,6.220000000000001,4.105,5.615,positive,6 out of 7,"['jet', 'blue', 'would', 'like', 'apologize', 'inconvenience']","['behalf', 'jet', 'blue', 'would', 'like', 'apologize', 'inconvenience']"
34,I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.,6.0,4.52,5.39,neutral,11 out of 12,"['allow', 'issue', 'fifty', 'dollar', 'gift', 'card', 'use', 'future', 'flight', 'want', 'take']","['allow', 'issue', 'fifty', 'dollar', 'gift', 'card', 'use', 'future', 'flight', 'want', 'take', 'us']"
35,"I'm very sorry, once again...
Ses01F_impro05_F010 [069.5500-073.7600]: Oh, Are you kidding me?",6.02,4.665,5.24,positive,2 out of 3,"['sorry', 'kid']","['sorry', 'oh', 'kid']"
36,"Ses01F_impro05_M012 [070.3800-073.1400]: for such an inconvenience and your bag, but
Ses01F_impro05_F011 [073.8700-075.5375]: Is this a joke?",5.05,5.73,5.62,neutral,3 out of 3,"['inconvenience', 'bag', 'joke']","['inconvenience', 'bag', 'joke']"
37,Ses01F_impro05_M013 [073.5500-074.9900]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
38,"Ses01F_impro05_M014 [075.0300-076.4800]: No, no.",N/A,N/A,N/A,N/A,0,N/A,[]
39,Ses01F_impro05_F012 [075.6100-080.7300]: Are there candid cameras?,6.095000000000001,3.525,5.904999999999999,positive,2 out of 2,"['candid', 'camera']","['candid', 'camera']"
40,Is this that movie?,7.24,4.39,5.68,positive,1 out of 1,['movie'],['movie']
41,"There's that show, right?",6.615,4.55,6.495,positive,2 out of 2,"['show', 'right']","['show', 'right']"
42,"Airplane, airline.",5.305,4.87,4.52,neutral,2 out of 2,"['airplane', 'airline']","['airplane', 'airline']"
43,"Ses01F_impro05_M015 [080.2200-083.2425]: No, no.",N/A,N/A,N/A,N/A,0,N/A,[]
44,This is real.,7.09,4.05,5.89,positive,1 out of 1,['real'],['real']
45,Ses01F_impro05_F013 [082.7500-086.0600]: So you'll give me money and then I'll get my bag?,6.595,4.12,5.6850000000000005,positive,4 out of 4,"['give', 'money', 'get', 'bag']","['give', 'money', 'get', 'bag']"
46,Ses01F_impro05_M016 [085.7200-093.9575]: No.,N/A,N/A,N/A,N/A,0,N/A,[]
47,"I'm just giving you money, the bag is gone.",6.71,4.715,5.67,positive,4 out of 4,"['give', 'money', 'bag', 'go']","['give', 'money', 'bag', 'go']"
