Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses01M_impro03_M000 [002.9200-005.5600]: The craziest thing just happened to me.,5.525,3.43,5.470000000000001,neutral,2 out of 3,"['thing', 'happen']","['craziest', 'thing', 'happen']"
2,Ses01M_impro03_F000 [005.0200-006.8500]: What?,N/A,N/A,N/A,N/A,0,N/A,[]
3,Ses01M_impro03_M001 [006.3100-011.5700]: This girl; she just offered me fifty thousand dollars to marry her.,6.765000000000001,4.365,5.555,positive,6 out of 6,"['girl', 'offer', 'fifty', 'thousand', 'dollar', 'marry']","['girl', 'offer', 'fifty', 'thousand', 'dollar', 'marry']"
4,"Ses01M_impro03_F001 [010.7900-012.0800]: [BREATHING]
Ses01M_impro03_M002 [011.7000-012.9800]: Yeah.",N/A,N/A,N/A,N/A,0,N/A,"['breathing', 'yeah']"
5,Ses01M_impro03_F002 [012.3700-013.7468]: Why?,N/A,N/A,N/A,N/A,0,N/A,[]
6,"Ses01M_impro03_M003 [013.2600-016.8700]: Well, she's not a citizen so she wants to get a visa.",5.87,4.8100000000000005,5.42,neutral,4 out of 5,"['neg-citizen', 'want', 'get', 'visa']","['well', 'citizen', 'want', 'get', 'visa']"
7,Ses01M_impro03_F003 [016.1900-017.7425]: Is she on the run?,6.41,5.24,5.44,positive,1 out of 1,['run'],['run']
8,"Ses01M_impro03_M004 [017.2800-026.5400]: No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah.",5.74,5.29,5.39,neutral,3 out of 4,"['neg-citizen', 'want', 'visa']","['citizen', 'want', 'visa', 'yeah']"
9,She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.,6.3100000000000005,3.87,5.6899999999999995,positive,10 out of 10,"['go', 'pay', 'fifty', 'thousand', 'dollar', 'marry', 'stay', 'marry', 'two', 'year']","['go', 'pay', 'fifty', 'thousand', 'dollar', 'marry', 'stay', 'marry', 'two', 'year']"
10,"Ses01M_impro03_F004 [019.6000-022.1975]: Oh, she just needs to marry you.",6.27,4.595,5.365,positive,2 out of 3,"['need', 'marry']","['oh', 'need', 'marry']"
11,Ses01M_impro03_F005 [026.0000-033.2100]: That's incredible.,7.59,6.35,7.74,positive,1 out of 1,['incredible'],['incredible']
12,That's awesome.,7.86,6.05,7.11,positive,1 out of 1,['awesome'],['awesome']
13,Where's she from?,N/A,N/A,N/A,N/A,0,N/A,[]
14,Maybe you can get a dual citizenship.,6.09,4.39,5.65,positive,3 out of 4,"['get', 'dual', 'citizenship']","['maybe', 'get', 'dual', 'citizenship']"
15,Ses01M_impro03_M005 [026.6000-030.7900]: That's like twenty five thousand dollar a year for doing nothing.,6.345000000000001,3.61,5.73,positive,6 out of 7,"['like', 'twenty', 'five', 'thousand', 'dollar', 'year']","['like', 'twenty', 'five', 'thousand', 'dollar', 'year', 'nothing']"
16,Isn't that awesome?,2.1399999999999997,3.95,2.8899999999999997,negative,1 out of 1,['neg-awesome'],['awesome']
17,"Ses01M_impro03_M006 [032.0500-039.5125]: She's actually from England, I think.",6.68,3.75,6.5,positive,1 out of 3,['think'],"['actually', 'england', 'think']"
18,Well she- she spoke English but she had an accent.,6.195,4.57,5.625,positive,2 out of 4,"['speak', 'accent']","['well', 'speak', 'english', 'accent']"
19,I didn't even ask.,4.05,6.52,3.71,neutral,1 out of 2,['neg-ask'],"['even', 'ask']"
20,Ses01M_impro03_F006 [035.5000-039.2350]: That's so cool.,6.82,3.43,6.44,positive,1 out of 1,['cool'],['cool']
21,Uh huh.,N/A,N/A,N/A,N/A,0,N/A,"['uh', 'huh']"
22,Ses01M_impro03_F007 [039.4500-043.7800]: [LAUGHTER] Why did she pick you?,6.98,4.505,6.48,positive,2 out of 2,"['laughter', 'pick']","['laughter', 'pick']"
23,Where were you?,N/A,N/A,N/A,N/A,0,N/A,[]
24,Ses01M_impro03_M007 [039.5775-047.6600]: Fifty thousand dollars.,6.44,3.5,5.9,positive,3 out of 3,"['fifty', 'thousand', 'dollar']","['fifty', 'thousand', 'dollar']"
25,Fifty thousand dollars.,6.44,3.5,5.9,positive,3 out of 3,"['fifty', 'thousand', 'dollar']","['fifty', 'thousand', 'dollar']"
