Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses05M_script01_1b_F000 [003.1063-008.8600]: What's he going to say?,6.115,4.645,6.105,positive,5.621666666666667,2 out of 2,"['go', 'say']","['go', 'say']"
2,Maybe we ought to tell him before he sees it.,5.513333333333333,3.5866666666666664,5.11,neutral,4.736666666666667,3 out of 4,"['ought', 'tell', 'see']","['maybe', 'ought', 'tell', 'see']"
3,Ses05M_script01_1b_M000 [008.5700-010.7100]: He saw it.,4.16,4.18,4.67,neutral,4.336666666666667,1 out of 1,['saw'],['saw']
4,Ses05M_script01_1b_F001 [010.6000-013.7700]: What do you mean?,2.43,4.81,4.17,negative,3.8033333333333332,1 out of 1,['mean'],['mean']
5,"I was the first one up, he was still in bed.",6.86,3.5233333333333334,6.223333333333334,positive,5.535555555555555,3 out of 4,"['first', 'one', 'bed']","['first', 'one', 'still', 'bed']"
6,Ses05M_script01_1b_M001 [013.3100-015.6700]: He was out here when it broke.,5.1,4.71,4.5,neutral,4.77,1 out of 1,['break'],['break']
7,Ses05M_script01_1b_F002 [015.1200-017.0200]: When?,nan,nan,nan,nan,nan,0,nan,[]
8,Ses05M_script01_1b_M002 [016.8300-024.8300]: About four this morning.,5.835,3.67,6.0,neutral,5.168333333333333,2 out of 2,"['four', 'morning']","['four', 'morning']"
9,I heard it crack and I looked out the window and he was standing right there when it cracked.,5.292857142857143,4.178571428571429,5.981428571428571,neutral,5.150952380952381,7 out of 7,"['hear', 'crack', 'look', 'window', 'stand', 'right', 'crack']","['hear', 'crack', 'look', 'window', 'stand', 'right', 'crack']"
10,Ses05M_script01_1b_F003 [025.3400-028.8700]: What was he doing out here four in the morning?,5.835,3.67,6.0,neutral,5.168333333333333,2 out of 2,"['four', 'morning']","['four', 'morning']"
11,Ses05M_script01_1b_M003 [029.6900-036.1900]: I don't know.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
12,"But after he saw it, he ran back into the house and started crying in the kitchen.",5.474285714285714,4.248571428571428,5.098571428571429,neutral,4.940476190476191,7 out of 7,"['saw', 'run', 'back', 'house', 'start', 'cry', 'kitchen']","['saw', 'run', 'back', 'house', 'start', 'cry', 'kitchen']"
13,Ses05M_script01_1b_F004 [035.9800-038.5900]: Did you talk to him?,6.64,3.38,6.44,positive,5.486666666666667,1 out of 1,['talk'],['talk']
14,Ses05M_script01_1b_M004 [038.2300-044.0600]: No.,nan,nan,nan,nan,nan,0,nan,[]
15,I figured it was best to leave him alone.,4.54,4.05,5.12,neutral,4.57,3 out of 4,"['figure', 'leave', 'alone']","['figure', 'best', 'leave', 'alone']"
16,Ses05M_script01_1b_F005 [045.2500-055.0200]: He's dreaming about him again.,7.43,4.37,5.4,positive,5.733333333333334,1 out of 1,['dream'],['dream']
17,He's getting just like after Larry died.,5.066666666666666,4.99,5.07,neutral,5.042222222222223,3 out of 4,"['get', 'like', 'die']","['get', 'like', 'larry', 'die']"
18,What's the meaning of that?,6.45,4.05,6.53,positive,5.676666666666667,1 out of 1,['meaning'],['meaning']
19,"Ses05M_script01_1b_M005 [051.9400-062.9700]: Yes, yes he is.",nan,nan,nan,nan,nan,0,nan,"['yes', 'yes']"
20,I don't know the meaning in it.,3.3649999999999998,6.355,3.8449999999999998,negative,4.521666666666667,2 out of 2,"['neg-know', 'neg-meaning']","['know', 'meaning']"
21,"But I know one thing, mom, we made a terrible mistake with Dad.",5.54,3.875,5.43375,neutral,4.949583333333333,8 out of 8,"['know', 'one', 'thing', 'mom', 'make', 'terrible', 'mistake', 'dad']","['know', 'one', 'thing', 'mom', 'make', 'terrible', 'mistake', 'dad']"
22,Ses05M_script01_1b_F006 [062.4100-064.0300]: What?,nan,nan,nan,nan,nan,0,nan,[]
23,Ses05M_script01_1b_M006 [063.9700-069.2100]: Being dishonest with him.,3.0,4.95,5.0,negative,4.316666666666666,1 out of 1,['dishonest'],['dishonest']
24,It's the kind of thing that pays off and now it's paying off.,6.4475,3.7750000000000004,6.4225,positive,5.548333333333333,4 out of 4,"['kind', 'thing', 'pay', 'pay']","['kind', 'thing', 'pay', 'pay']"
25,Ses05M_script01_1b_F007 [068.6400-070.8400]: What do you mean dishonest?,2.715,4.88,4.585,negative,4.06,2 out of 2,"['mean', 'dishonest']","['mean', 'dishonest']"
26,Ses05M_script01_1b_M007 [070.6300-079.2100]: You know that Larry's not coming back and I know it.,5.8100000000000005,5.08,5.1,neutral,5.33,4 out of 5,"['know', 'neg-come', 'neg-back', 'know']","['know', 'larry', 'come', 'back', 'know']"
27,So why do we go on letting him think that we believe with him?,6.5,3.6625,6.1125,positive,5.425,4 out of 4,"['go', 'let', 'think', 'believe']","['go', 'let', 'think', 'believe']"
28,"Ses05M_script01_1b_F008 [078.8200-081.5800]: What are you gonna do, argue with him?",3.15,6.67,4.77,negative,4.863333333333333,1 out of 3,['argue'],"['gon', 'na', 'argue']"
29,Ses05M_script01_1b_M008 [080.9300-087.5700]: I don't want to argue with him.,5.425,4.02,4.92,neutral,4.788333333333333,2 out of 2,"['neg-want', 'neg-argue']","['want', 'argue']"
30,But it's time that he knows that nobody else believes that Larry's alive.,6.51,3.9775,5.8675,positive,5.451666666666667,4 out of 7,"['time', 'know', 'believe', 'alive']","['time', 'know', 'nobody', 'else', 'believe', 'larry', 'alive']"
31,I mean,2.43,4.81,4.17,negative,3.8033333333333332,1 out of 1,['mean'],['mean']
