Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses01F_script03_1_M000 [004.2888-006.1800]: Good God.,6.895,4.609999999999999,5.705,positive,2 out of 2,"['good', 'god']","['good', 'god']"
2,Ses01F_script03_1_F000 [005.5300-007.7000]: Is it them?,N/A,N/A,N/A,N/A,0,N/A,[]
3,Ses01F_script03_1_M001 [007.2900-009.1800]: I wonder.,6.68,4.38,6.44,positive,1 out of 1,['wonder'],['wonder']
4,Ses01F_script03_1_F001 [008.7400-015.2000]: Freda is the only one who knows we are here.,6.455,2.955,5.67,positive,2 out of 3,"['one', 'know']","['freda', 'one', 'know']"
5,She wouldn't ring up.,4.41,4.69,5.25,neutral,2 out of 2,"['would', 'neg-ring']","['would', 'ring']"
6,Ses01F_script03_1_M002 [014.6400-017.4300]: It must be them then.,5.45,4.1,5.06,neutral,1 out of 1,['must'],['must']
7,Ses01F_script03_1_F002 [017.2000-022.7100]: It had to happen sooner or later.,5.5,3.43,5.53,neutral,1 out of 3,['happen'],"['happen', 'sooner', 'later']"
8,What are we going to do?,6.32,4.86,5.33,positive,1 out of 1,['go'],['go']
9,"Ses01F_script03_1_M003 [019.8475-021.2900]: [BREATHING]
Ses01F_script03_1_M004 [022.1600-024.9500]: We are okay, aren't we darling?",2.6799999999999997,6.05,4.56,negative,1 out of 3,['neg-darling'],"['breathing', 'okay', 'darling']"
10,"Ses01F_script03_1_F003 [024.4700-027.4400]: Now and always, sweet.",7.77,4.14,6.12,positive,1 out of 2,['sweet'],"['always', 'sweet']"
11,Ses01F_script03_1_M005 [026.8600-029.5200]: I don't care then.,2.3600000000000003,7.33,3.4400000000000004,negative,1 out of 1,['neg-care'],['care']
12,Ses01F_script03_1_F004 [028.9600-032.9400]: It had to happen sooner or later.,5.5,3.43,5.53,neutral,1 out of 3,['happen'],"['happen', 'sooner', 'later']"
13,Ses01F_script03_1_M006 [033.9200-039.3100]: Hello?,N/A,N/A,N/A,N/A,0,N/A,['hello']
14,Hello?,N/A,N/A,N/A,N/A,0,N/A,['hello']
15,"I'm sorry, what's that?",4.81,4.62,5.65,neutral,1 out of 1,['sorry'],['sorry']
16,Ses01F_script03_1_M007 [039.5000-045.7750]: No.,N/A,N/A,N/A,N/A,0,N/A,[]
17,Wrong number.,4.415,4.395,4.76,neutral,2 out of 2,"['wrong', 'number']","['wrong', 'number']"
18,"[LAUGHTER]
Ses01F_script03_1_F005 [041.1700-047.6400]: [LAUGHTER] That sent shivers up my spine.",6.18,4.65,5.94,positive,5 out of 5,"['laughter', 'laughter', 'send', 'shiver', 'spine']","['laughter', 'laughter', 'send', 'shiver', 'spine']"
19,Ses01F_script03_1_M008 [046.7200-051.9842]: What shall we do if they suddenly walk in on us.,6.3149999999999995,3.38,5.859999999999999,positive,2 out of 4,"['shall', 'walk']","['shall', 'suddenly', 'walk', 'us']"
20,"[LAUGHTER]
Ses01F_script03_1_F006 [051.2835-053.8175]: We'll behave exquisitely.",7.15,4.555,7.035,positive,2 out of 3,"['laughter', 'behave']","['laughter', 'behave', 'exquisitely']"
21,Ses01F_script03_1_M009 [053.2800-055.3300]: With perfect poise.,6.345000000000001,4.24,6.365,positive,2 out of 2,"['perfect', 'poise']","['perfect', 'poise']"
22,Ses01F_script03_1_F007 [054.6100-056.8000]: I think I shall do a curtsy.,6.35,3.75,5.89,positive,3 out of 3,"['think', 'shall', 'curtsy']","['think', 'shall', 'curtsy']"
23,"Ses01F_script03_1_M010 [056.3700-064.4300]: It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.",5.55,3.5,5.41,neutral,7 out of 8,"['strange', 'thing', 'ought', 'matter', 'neg-matter', 'one', 'happy']","['strange', 'thing', 'ought', 'matter', 'dreadfully', 'matter', 'one', 'happy']"
24,Do they?,N/A,N/A,N/A,N/A,0,N/A,[]
25,Ses01F_script03_1_F008 [063.4100-067.4075]: Hmm.,N/A,N/A,N/A,N/A,0,N/A,['hmm']
26,The pity is that one can't stay happy.,3.5200000000000005,4.01,4.404999999999999,negative,4 out of 5,"['pity', 'one', 'neg-stay', 'neg-happy']","['pity', 'one', 'ca', 'stay', 'happy']"
27,"Ses01F_script03_1_M011 [066.8400-069.2900]: Darling, don't say that.",5.705,4.76,4.28,neutral,2 out of 2,"['darling', 'neg-say']","['darling', 'say']"
28,Ses01F_script03_1_F009 [068.7000-071.8100]: It's true.,7.51,4.98,7.0,positive,1 out of 1,['true'],['true']
29,I think the whole thing's a cruel joke.,5.86,3.75,5.79,neutral,5 out of 5,"['think', 'whole', 'thing', 'cruel', 'joke']","['think', 'whole', 'thing', 'cruel', 'joke']"
30,Ses01F_script03_1_M012 [071.0000-075.4300]: What?,N/A,N/A,N/A,N/A,0,N/A,[]
31,This beautiful and sacred thing - love?,7.28,5.18,5.665,positive,4 out of 4,"['beautiful', 'sacred', 'thing', 'love']","['beautiful', 'sacred', 'thing', 'love']"
32,Ses01F_script03_1_F010 [074.6500-077.1800]: Yes.,N/A,N/A,N/A,N/A,0,N/A,['yes']
33,Meaning just that.,2.43,4.81,4.17,negative,1 out of 1,['mean'],['mean']
34,Ses01F_script03_1_M013 [076.3200-086.5180]: Well what does it all mean?,2.43,4.81,4.17,negative,1 out of 2,['mean'],"['well', 'mean']"
35,That's what I ask myself in my quest for ultimate truth.,6.105,4.49,6.145,positive,4 out of 4,"['ask', 'quest', 'ultimate', 'truth']","['ask', 'quest', 'ultimate', 'truth']"
36,"Dear God, what does it all mean?",4.165,5.185,4.585,neutral,2 out of 3,"['god', 'mean']","['dear', 'god', 'mean']"
37,Ses01F_script03_1_F011 [084.4700-088.2600]: Don't laugh at me.,2.4400000000000004,3.38,2.6100000000000003,negative,1 out of 1,['neg-laugh'],['laugh']
38,I'm being serious.,5.88,4.05,5.67,neutral,1 out of 1,['serious'],['serious']
39,"Ses01F_script03_1_M014 [087.7600-092.5700]: Oh darling, you mustn't be serious.",5.45,4.1,5.06,neutral,3 out of 4,"['darling', 'must', 'neg-serious']","['oh', 'darling', 'must', 'serious']"
40,It's just what they want.,6.0,5.29,5.39,neutral,1 out of 1,['want'],['want']
41,Ses01F_script03_1_F012 [092.1400-093.6600]: Who's they?,N/A,N/A,N/A,N/A,0,N/A,[]
42,Ses01F_script03_1_M015 [093.2300-100.1600]: All of those futile moralists who make life unbearable.,4.955,5.15,4.635,neutral,4 out of 5,"['futile', 'make', 'life', 'unbearable']","['futile', 'moralist', 'make', 'life', 'unbearable']"
43,"You have to laugh at them, be flippant.",7.56,6.62,7.39,positive,1 out of 2,['laugh'],"['laugh', 'flippant']"
44,"Ses01F_script03_1_M016 [100.1950-106.5500]: You know, flippancy brings out the acid in their darned, light and sweetness.",6.55,4.29,5.78,positive,5 out of 7,"['know', 'bring', 'acid', 'light', 'sweetness']","['know', 'flippancy', 'bring', 'acid', 'darned', 'light', 'sweetness']"
45,"Ses01F_script03_1_F013 [105.9400-109.3900]: you know if I laugh at everything then I must laugh at us, too.",7.1899999999999995,5.359999999999999,6.585,positive,4 out of 6,"['know', 'laugh', 'must', 'laugh']","['know', 'laugh', 'everything', 'must', 'laugh', 'us']"
46,Ses01F_script03_1_M017 [108.8700-113.0200]: Oh of course.,N/A,N/A,N/A,N/A,0,N/A,"['oh', 'course']"
47,We are figures of fun.,6.7299999999999995,4.995,6.215,positive,2 out of 2,"['figure', 'fun']","['figure', 'fun']"
48,All right.,7.32,5.0,7.16,positive,1 out of 1,['right'],['right']
49,"Ses01F_script03_1_F014 [112.4000-118.3800]: How long with it last, this ludicrous overbearing love of ours?",3.95,5.1,4.79,negative,3 out of 5,"['ludicrous', 'overbearing', 'love']","['long', 'last', 'ludicrous', 'overbearing', 'love']"
50,Ses01F_script03_1_M018 [118.0823-120.5300]: Who knows?,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
51,Ses01F_script03_1_F015 [120.0800-122.4300]: Shall we always want to bicker and fight?,4.7,5.21,5.035,neutral,4 out of 5,"['shall', 'want', 'bicker', 'fight']","['shall', 'always', 'want', 'bicker', 'fight']"
52,Ses01F_script03_1_M019 [121.9500-127.1500]: Oh no.,N/A,N/A,N/A,N/A,0,N/A,['oh']
53,That fire will fade along with our passion.,4.65,6.05,4.63,neutral,3 out of 4,"['fire', 'fade', 'passion']","['fire', 'fade', 'along', 'passion']"
54,"Ses01F_script03_1_F016 [126.1000-128.9675]: Oh dear, should we like that?",7.44,4.4,6.28,positive,1 out of 3,['like'],"['oh', 'dear', 'like']"
55,Ses01F_script03_1_M020 [128.3800-131.7700]: Well it depends on how well we've played.,6.275,4.13,6.25,positive,2 out of 4,"['depend', 'play']","['well', 'depend', 'well', 'play']"
