Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,"Ses04M_impro04_M000 [007.3000-018.4300]: Oh, man, I just -- I don't know what to do.",4.3,5.5600000000000005,4.83,neutral,4.8966666666666665,2 out of 3,"['man', 'neg-know']","['oh', 'man', 'know']"
2,I don't know what to do.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
3,"It's like every job, you know, I go to; every job I apply to,",6.17,3.956666666666667,5.411666666666667,positive,5.179444444444445,6 out of 8,"['like', 'job', 'know', 'go', 'job', 'apply']","['like', 'every', 'job', 'know', 'go', 'every', 'job', 'apply']"
4,Ses04M_impro04_M001 [018.4800-035.2100]: it's just like nobody- nobody wants to hire me.,6.843333333333334,5.113333333333333,6.03,positive,5.995555555555556,3 out of 5,"['like', 'want', 'hire']","['like', 'nobody', 'nobody', 'want', 'hire']"
5,"It's been years, I mean, do you understand, years?",5.1525,3.7475,5.625,neutral,4.841666666666667,4 out of 4,"['year', 'mean', 'understand', 'year']","['year', 'mean', 'understand', 'year']"
6,"Like, I'm -- you know what I mean, it's like I've been collecting unemployment for so long now, it's just like I just -- I can't take it.",5.62125,4.4325,5.29875,neutral,5.117500000000001,8 out of 10,"['like', 'know', 'mean', 'like', 'collect', 'unemployment', 'like', 'neg-take']","['like', 'know', 'mean', 'like', 'collect', 'unemployment', 'long', 'like', 'ca', 'take']"
7,I don't know what to do.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
8,"I mean, I'm just like losing my mind.",5.04,4.922499999999999,5.2325,neutral,5.0649999999999995,4 out of 4,"['mean', 'like', 'lose', 'mind']","['mean', 'like', 'lose', 'mind']"
9,Ses04M_impro04_F000 [035.3735-038.5500]: Well there has to be something you haven't tried.,4.36,6.0,4.06,neutral,4.806666666666666,1 out of 3,['neg-try'],"['well', 'something', 'try']"
10,Ses04M_impro04_M002 [038.3400-046.5000]: I-I'm not kidding.,2.7699999999999996,5.29,5.17,negative,4.409999999999999,1 out of 1,['neg-kid'],['kid']
11,I've tried everything.,5.64,4.0,5.94,neutral,5.193333333333334,1 out of 2,['try'],"['try', 'everything']"
12,"Like I've gone to every business and local, you know,",6.566,4.002,5.884,positive,5.483999999999999,5 out of 6,"['like', 'go', 'business', 'local', 'know']","['like', 'go', 'every', 'business', 'local', 'know']"
13,Ses04M_impro04_M003 [046.5500-052.8900]: local business in- in the area and I can't- I can't get anything.,5.43,4.0075,5.359999999999999,neutral,4.9325,4 out of 7,"['local', 'business', 'area', 'neg-get']","['local', 'business', 'area', 'ca', 'ca', 'get', 'anything']"
14,"Like, nobody -",7.44,4.4,6.28,positive,6.04,1 out of 2,['like'],"['like', 'nobody']"
15,Ses04M_impro04_F001 [055.8000-058.0100]: What about like a temp agency?,5.736666666666666,3.73,5.3566666666666665,neutral,4.941111111111112,3 out of 3,"['like', 'temp', 'agency']","['like', 'temp', 'agency']"
16,"Ses04M_impro04_F002 [058.0100-061.4700]: Have you gone, like, signed up with a temp agency?",5.76,3.8480000000000003,5.356,neutral,4.988,5 out of 5,"['go', 'like', 'sign', 'temp', 'agency']","['go', 'like', 'sign', 'temp', 'agency']"
17,Maybe they can help.,6.95,4.29,6.89,positive,6.043333333333333,1 out of 2,['help'],"['maybe', 'help']"
18,Ses04M_impro04_M004 [052.9100-057.0000]: there's just like no jobs available.,4.98,5.453333333333333,5.083333333333333,neutral,5.172222222222222,3 out of 3,"['like', 'neg-job', 'neg-available']","['like', 'job', 'available']"
19,"I mean, it's just like, God.",5.256666666666667,4.923333333333333,5.15,neutral,5.11,3 out of 3,"['mean', 'like', 'god']","['mean', 'like', 'god']"
20,"Ses04M_impro04_M005 [059.7500-069.3300]: Yeah, I tried that.",5.64,4.0,5.94,neutral,5.193333333333334,1 out of 2,['try'],"['yeah', 'try']"
21,"And there was like, yeah, like I did like one thing once.",6.792,3.8600000000000003,5.962,positive,5.538,5 out of 6,"['like', 'like', 'like', 'one', 'thing']","['like', 'yeah', 'like', 'like', 'one', 'thing']"
22,"But, like, that's not -- it doesn't last very long.",7.44,4.4,6.28,positive,6.04,1 out of 3,['like'],"['like', 'last', 'long']"
23,And it's not enough to live on.,2.05,5.29,3.5,negative,3.6133333333333333,1 out of 2,['neg-live'],"['enough', 'live']"
24,"Ses04M_impro04_F003 [069.0000-074.2400]: Right, but you have -- I mean, you have to keep on them.",5.356666666666667,4.413333333333333,5.68,neutral,5.1499999999999995,3 out of 3,"['right', 'mean', 'keep']","['right', 'mean', 'keep']"
25,You have to keep calling and reminding them that you're still looking and,5.8149999999999995,3.67,5.9175,neutral,5.134166666666666,4 out of 5,"['keep', 'call', 'remind', 'look']","['keep', 'call', 'remind', 'still', 'look']"
26,"Ses04M_impro04_F004 [074.2400-076.8100]: I mean, you have to be really aggressive about it.",2.755,5.34,4.83,negative,4.308333333333333,2 out of 3,"['mean', 'aggressive']","['mean', 'really', 'aggressive']"
27,"Ses04M_impro04_M006 [073.7400-075.9400]: Yeah, I do.",nan,nan,nan,nan,nan,0,nan,['yeah']
28,I do.,nan,nan,nan,nan,nan,0,nan,[]
29,You don't understand.,3.3200000000000003,6.48,3.29,negative,4.363333333333333,1 out of 1,['neg-understand'],['understand']
30,Ses04M_impro04_M007 [075.9400-082.2055]: I- You don't understand.,3.3200000000000003,6.48,3.29,negative,4.363333333333333,1 out of 1,['neg-understand'],['understand']
