Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses03F_script01_1_F000 [003.2570-010.0721]: What's he going to say?,6.115,4.645,6.105,positive,5.621666666666667,2 out of 2,"['go', 'say']","['go', 'say']"
2,Maybe we ought to talk to him before he sees it.,5.97,3.4266666666666667,5.61,neutral,5.002222222222223,3 out of 4,"['ought', 'talk', 'see']","['maybe', 'ought', 'talk', 'see']"
3,Ses03F_script01_1_M000 [008.9773-012.3712]: He saw it.,4.16,4.18,4.67,neutral,4.336666666666667,1 out of 1,['saw'],['saw']
4,Ses03F_script01_1_F001 [011.6048-016.5588]: What-how did he see it?,6.27,3.9,6.0,positive,5.390000000000001,1 out of 1,['see'],['see']
5,"I mean, I was the first one up.",5.283333333333333,4.126666666666667,5.37,neutral,4.926666666666667,3 out of 3,"['mean', 'first', 'one']","['mean', 'first', 'one']"
6,He was still in bed.,7.16,3.0,6.73,positive,5.63,1 out of 2,['bed'],"['still', 'bed']"
7,Ses03F_script01_1_M001 [015.9019-018.0915]: He was out there when it happened.,5.5,3.43,5.53,neutral,4.82,1 out of 1,['happen'],['happen']
8,Ses03F_script01_1_F002 [017.5989-019.5969]: When?,nan,nan,nan,nan,nan,0,nan,[]
9,"Ses03F_script01_1_M002 [019.0221-028.3005]: Um, about four this morning.",5.835,3.67,6.0,neutral,5.168333333333333,2 out of 3,"['four', 'morning']","['um', 'four', 'morning']"
10,Uh- I heard a crack and I looked out and I saw him standing there.,4.948,3.9819999999999998,5.7139999999999995,neutral,4.881333333333333,5 out of 6,"['hear', 'crack', 'look', 'saw', 'stand']","['uh', 'hear', 'crack', 'look', 'saw', 'stand']"
11,Ses03F_script01_1_F003 [027.5250-029.8059]: What was he doing out at four in the morning?,5.835,3.67,6.0,neutral,5.168333333333333,2 out of 2,"['four', 'morning']","['four', 'morning']"
12,Ses03F_script01_1_M003 [029.3175-035.0335]: I don't know.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
13,But after it cracked he went back in the house and he cried in the kitchen.,5.056666666666667,4.2700000000000005,5.138333333333334,neutral,4.821666666666667,6 out of 6,"['crack', 'go', 'back', 'house', 'cry', 'kitchen']","['crack', 'go', 'back', 'house', 'cry', 'kitchen']"
14,Ses03F_script01_1_F004 [034.2398-036.7304]: Did you talk to him?,6.64,3.38,6.44,positive,5.486666666666667,1 out of 1,['talk'],['talk']
15,"Ses03F_script01_1_M004 [036.0188-041.8486]: No, I uh-, I figured the best thing to do was to leave him alone.",4.7924999999999995,3.895,5.1925,neutral,4.626666666666666,4 out of 6,"['figure', 'thing', 'leave', 'alone']","['uh', 'figure', 'best', 'thing', 'leave', 'alone']"
16,"Ses03F_script01_1_F005 [042.1223-045.5709]: He cried hard, huh?",3.785,4.975,3.76,negative,4.173333333333333,2 out of 3,"['cry', 'hard']","['cry', 'hard', 'huh']"
17,Ses03F_script01_1_M005 [045.0509-048.2806]: I could hear it right through the floor.,6.38,3.9833333333333334,6.753333333333333,positive,5.705555555555556,3 out of 4,"['hear', 'right', 'floor']","['could', 'hear', 'right', 'floor']"
18,Ses03F_script01_1_F006 [047.3773-056.3547]: What was he doing out there at that time?,5.6,3.41,4.36,neutral,4.456666666666667,1 out of 1,['time'],['time']
19,He was dreaming about him again.,7.43,4.37,5.4,positive,5.733333333333334,1 out of 1,['dream'],['dream']
20,He's walking around at night again.,6.725,3.4050000000000002,5.525,positive,5.218333333333333,2 out of 3,"['walk', 'night']","['walk', 'around', 'night']"
21,Ses03F_script01_1_M006 [055.2873-058.6264]: I guess he is.,5.18,3.86,4.89,neutral,4.6433333333333335,1 out of 1,['guess'],['guess']
22,"Ses03F_script01_1_F007 [058.8453-062.8961]: Could he-he's acting just like he did after he died, you know?",5.3925,4.6825,5.3625,neutral,5.145833333333333,4 out of 5,"['act', 'like', 'die', 'know']","['could', 'act', 'like', 'die', 'know']"
23,Ses03F_script01_1_F008 [062.9508-066.1805]: What's the meaning in that?,6.45,4.05,6.53,positive,5.676666666666667,1 out of 1,['meaning'],['meaning']
24,Ses03F_script01_1_M007 [065.1404-067.7406]: I don't know.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
25,"Ses03F_script01_1_M008 [067.8774-073.4061]: But I know one thing, mom.",6.525,3.49,5.76,positive,5.258333333333334,4 out of 4,"['know', 'one', 'thing', 'mom']","['know', 'one', 'thing', 'mom']"
26,We've made a terrible mistake with dad.,4.555,4.26,5.1075,neutral,4.640833333333333,4 out of 4,"['make', 'terrible', 'mistake', 'dad']","['make', 'terrible', 'mistake', 'dad']"
27,"Ses03F_script01_1_F009 [072.6672-075.9242]: Well, what do you mean?",2.43,4.81,4.17,negative,3.8033333333333332,1 out of 2,['mean'],"['well', 'mean']"
28,What?,nan,nan,nan,nan,nan,0,nan,[]
29,Ses03F_script01_1_M009 [075.1852-080.8234]: Being dishonest with him.,3.0,4.95,5.0,negative,4.316666666666666,1 out of 1,['dishonest'],['dishonest']
30,That kind of thing always pays off and now it's paying off.,6.4475,3.7750000000000004,6.4225,positive,5.548333333333333,4 out of 5,"['kind', 'thing', 'pay', 'pay']","['kind', 'thing', 'always', 'pay', 'pay']"
31,"Ses03F_script01_1_F010 [080.0844-083.0500]: What do you mean, dishonest?",2.715,4.88,4.585,negative,4.06,2 out of 2,"['mean', 'dishonest']","['mean', 'dishonest']"
32,Ses03F_script01_1_M010 [082.4656-089.2533]: You know Larry's not coming back and I know that too.,5.8100000000000005,5.08,5.1,neutral,5.33,4 out of 5,"['know', 'neg-come', 'neg-back', 'know']","['know', 'larry', 'come', 'back', 'know']"
