Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses03M_impro08a_M000 [006.5663-011.4367]: Hello.,nan,nan,nan,nan,nan,0,nan,['hello']
2,This is Viacom Services.,6.83,2.95,5.33,positive,5.036666666666667,1 out of 2,['service'],"['viacom', 'service']"
3,How can I help you?,6.95,4.29,6.89,positive,6.043333333333333,1 out of 1,['help'],['help']
4,Ses03M_impro08a_F000 [010.7663-018.3382]: Hello?,nan,nan,nan,nan,nan,0,nan,['hello']
5,"God finally somebody, look, this is ridiculous.",5.173333333333334,4.99,4.886666666666667,neutral,5.016666666666667,3 out of 5,"['god', 'look', 'ridiculous']","['god', 'finally', 'somebody', 'look', 'ridiculous']"
6,I've been waiting online for like a half an hour now.,5.68,3.8000000000000003,5.946666666666666,neutral,5.142222222222222,3 out of 5,"['wait', 'like', 'hour']","['wait', 'online', 'like', 'half', 'hour']"
7,"Ses03M_impro08a_M001 [017.6481-020.8228]: I'm sorry ma'am, what can I help you with?",5.88,4.455,6.27,neutral,5.535,2 out of 2,"['sorry', 'help']","['sorry', 'help']"
8,"Ses03M_impro08a_F001 [019.8763-026.9925]: Look my, my phone isn't working.",5.663333333333333,4.286666666666667,4.733333333333333,neutral,4.894444444444445,3 out of 3,"['look', 'phone', 'neg-work']","['look', 'phone', 'work']"
9,I don't understand what's going on.,4.82,5.67,4.3100000000000005,neutral,4.933333333333334,2 out of 2,"['neg-understand', 'go']","['understand', 'go']"
10,I am trying to call out.,5.91,3.645,5.775,neutral,5.11,2 out of 2,"['try', 'call']","['try', 'call']"
11,I'm not receiving any calls,3.3400000000000003,6.205,3.8,negative,4.448333333333333,2 out of 2,"['neg-receive', 'neg-call']","['receive', 'call']"
12,"Ses03M_impro08a_F002 [027.0735-031.6225]: and I need assistance with my...not only is my work phone, it's my home phone and look,",5.99,3.7457142857142856,5.594285714285714,neutral,5.11,7 out of 7,"['need', 'assistance', 'work', 'phone', 'home', 'phone', 'look']","['need', 'assistance', 'work', 'phone', 'home', 'phone', 'look']"
13,Ses03M_impro08a_F003 [031.7275-036.8342]: this is my business.,5.48,3.71,5.35,neutral,4.846666666666667,1 out of 1,['business'],['business']
14,This is how I make money is through my phone.,6.426666666666667,4.653333333333333,5.66,positive,5.580000000000001,3 out of 3,"['make', 'money', 'phone']","['make', 'money', 'phone']"
15,It needs to be working.,5.25,4.0,5.59,neutral,4.946666666666666,2 out of 2,"['need', 'work']","['need', 'work']"
16,Can you please help me?,6.95,4.29,6.89,positive,6.043333333333333,1 out of 2,['help'],"['please', 'help']"
17,Ses03M_impro08a_M002 [034.1722-042.0202]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
18,Can you give me the last four digits of your social security number so I can verify who I'm speaking with?,5.90625,4.0325,5.685,neutral,5.207916666666666,8 out of 9,"['give', 'four', 'digit', 'social', 'security', 'number', 'verify', 'speak']","['give', 'last', 'four', 'digit', 'social', 'security', 'number', 'verify', 'speak']"
19,Ses03M_impro08a_F004 [041.3695-044.4061]: two two six six.,5.574999999999999,3.255,5.3149999999999995,neutral,4.714999999999999,4 out of 4,"['two', 'two', 'six', 'six']","['two', 'two', 'six', 'six']"
20,Ses03M_impro08a_M003 [043.4794-046.8315]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
21,And your name is?,5.62,3.04,5.14,neutral,4.6000000000000005,1 out of 1,['name'],['name']
22,Ses03M_impro08a_F005 [045.9836-048.5076]: Olivia.,nan,nan,nan,nan,nan,0,nan,['olivia']
23,Ses03M_impro08a_M004 [047.7977-053.2597]: Olivia.,nan,nan,nan,nan,nan,0,nan,['olivia']
24,Um.,nan,nan,nan,nan,nan,0,nan,['um']
25,Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
26,So how long has this problem been?,3.52,4.81,4.94,negative,4.423333333333333,1 out of 2,['problem'],"['long', 'problem']"
27,Ses03M_impro08a_F006 [052.5302-061.8176]: This has been going on for the past two weeks.,5.745,4.0575,5.21,neutral,5.004166666666666,4 out of 4,"['go', 'past', 'two', 'week']","['go', 'past', 'two', 'week']"
28,I called every single day.,5.976666666666667,3.586666666666667,5.343333333333334,neutral,4.9688888888888885,3 out of 4,"['call', 'single', 'day']","['call', 'every', 'single', 'day']"
29,Nobody is helping me.,6.95,4.29,6.89,positive,6.043333333333333,1 out of 2,['help'],"['nobody', 'help']"
30,"You guys tell me the same thing over and over, call again, call again, call again--",5.984999999999999,3.645,5.383333333333334,neutral,5.004444444444444,6 out of 6,"['guy', 'tell', 'thing', 'call', 'call', 'call']","['guy', 'tell', 'thing', 'call', 'call', 'call']"
31,Ses03M_impro08a_M005 [060.1218-062.9021]: So what exactly is the problem?,3.52,4.81,4.94,negative,4.423333333333333,1 out of 2,['problem'],"['exactly', 'problem']"
32,"Ses03M_impro08a_F007 [061.8767-069.4487]: I don't, I don't know what the problem is.",3.3499999999999996,5.785,4.58,negative,4.571666666666666,2 out of 2,"['neg-know', 'problem']","['know', 'problem']"
33,That's what I want you guys to...why is my service not turned on?,5.9825,4.8675,4.99,neutral,5.28,4 out of 4,"['want', 'guy', 'service', 'neg-turn']","['want', 'guy', 'service', 'turn']"
34,And I paid my bills on time.,4.98,3.8833333333333333,4.8966666666666665,neutral,4.586666666666667,3 out of 3,"['pay', 'bill', 'time']","['pay', 'bill', 'time']"
35,I don't understand.,3.3200000000000003,6.48,3.29,negative,4.363333333333333,1 out of 1,['neg-understand'],['understand']
36,Ses03M_impro08a_M006 [068.6402-077.5530]: Um- I think part of it has to do with the network being down.,5.5,3.8466666666666667,5.7,neutral,5.015555555555555,3 out of 4,"['think', 'part', 'network']","['um', 'think', 'part', 'network']"
37,It's been having some trouble the last few weeks--,4.07,4.46,4.8149999999999995,neutral,4.448333333333333,2 out of 3,"['trouble', 'week']","['trouble', 'last', 'week']"
38,Ses03M_impro08a_F008 [074.8318-081.1900]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
39,"Well that is, that is fine and all.",6.5,3.86,5.78,positive,5.38,1 out of 2,['fine'],"['well', 'fine']"
40,I don't care.,2.3600000000000003,7.33,3.4400000000000004,negative,4.376666666666668,1 out of 1,['neg-care'],['care']
41,I really don't care because I want my phone to work that's all.,4.875,5.095,4.8475,neutral,4.939166666666666,4 out of 5,"['neg-care', 'want', 'phone', 'work']","['really', 'care', 'want', 'phone', 'work']"
42,Ses03M_impro08a_F009 [081.2225-092.2433]: That is I am paying you guys for service and I'm not getting any service.,5.338,5.056,5.16,neutral,5.184666666666667,5 out of 5,"['pay', 'guy', 'service', 'neg-get', 'neg-service']","['pay', 'guy', 'service', 'get', 'service']"
43,"I get, I get just dropped calls all the time and now it's completely not working at all.",5.523333333333333,4.0633333333333335,4.995,neutral,4.860555555555556,6 out of 7,"['get', 'get', 'drop', 'call', 'time', 'neg-work']","['get', 'get', 'drop', 'call', 'time', 'completely', 'work']"
44,"I can't even call out, nine one one probably wouldn't even work.",5.326666666666666,4.226666666666667,5.09,neutral,4.881111111111111,6 out of 10,"['neg-call', 'nine', 'one', 'one', 'would', 'neg-work']","['ca', 'even', 'call', 'nine', 'one', 'one', 'probably', 'would', 'even', 'work']"
45,Ses03M_impro08a_M007 [087.7474-090.4292]: I understand--we're not-,6.68,3.52,6.71,positive,5.636666666666667,1 out of 1,['understand'],['understand']
46,Ses03M_impro08a_M008 [091.0602-095.6349]: No.,nan,nan,nan,nan,nan,0,nan,[]
47,Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
48,We're not charging you for any of these months.,5.585,4.695,4.9399999999999995,neutral,5.073333333333333,2 out of 2,"['neg-charge', 'month']","['charge', 'month']"
49,We're going to give you three months free.,6.702,4.366,5.61,positive,5.559333333333334,5 out of 5,"['go', 'give', 'three', 'month', 'free']","['go', 'give', 'three', 'month', 'free']"
50,Ses03M_impro08a_F010 [094.6884-099.7560]: Well you better.,nan,nan,nan,nan,nan,0,nan,"['well', 'better']"
51,You better give me a whole freaking new phone that's what you better do.,6.218,4.584,5.346,positive,5.382666666666666,5 out of 7,"['give', 'whole', 'freak', 'new', 'phone']","['better', 'give', 'whole', 'freak', 'new', 'phone', 'better']"
52,Ses03M_impro08a_M009 [098.8687-101.6293]: We can give you a new phone--,7.166666666666667,4.38,5.126666666666667,positive,5.557777777777777,3 out of 3,"['give', 'new', 'phone']","['give', 'new', 'phone']"
53,Ses03M_impro08a_F011 [099.9335-102.3589]: I want a camera phone actually.,6.233333333333333,3.9233333333333333,5.406666666666666,positive,5.187777777777778,3 out of 4,"['want', 'camera', 'phone']","['want', 'camera', 'phone', 'actually']"
54,Ses03M_impro08a_M010 [101.7279-107.3871]: We can do that.,nan,nan,nan,nan,nan,0,nan,[]
55,We can do that.,nan,nan,nan,nan,nan,0,nan,[]
56,You just have to sign a one-year contract though with the--,5.185,3.5700000000000003,6.109999999999999,neutral,4.954999999999999,2 out of 3,"['sign', 'contract']","['sign', 'contract', 'though']"
57,"Ses03M_impro08a_F012 [105.5533-110.1575]: No, no, no...",nan,nan,nan,nan,nan,0,nan,[]
58,I'm done with these contract business because this is what can happen.,5.3725000000000005,3.69,6.0175,neutral,5.026666666666666,4 out of 4,"['do', 'contract', 'business', 'happen']","['do', 'contract', 'business', 'happen']"
59,"Ses03M_impro08a_F013 [110.2000-117.8182]: You sign the contract and then down the line the phone doesn't work and you're stuck, you can't go to a new...no.",5.3575,4.19625,5.1425,neutral,4.898750000000001,8 out of 9,"['sign', 'contract', 'line', 'phone', 'neg-work', 'stick', 'neg-go', 'new']","['sign', 'contract', 'line', 'phone', 'work', 'stick', 'ca', 'go', 'new']"
60,No contracts for me.,4.9,6.05,3.16,neutral,4.703333333333333,1 out of 1,['neg-contract'],['contract']
61,You give me a new phone.,7.166666666666667,4.38,5.126666666666667,positive,5.557777777777777,3 out of 3,"['give', 'new', 'phone']","['give', 'new', 'phone']"
62,"Ses03M_impro08a_M011 [116.2210-122.3732]: Besides, it's sort of out of hands at the moment----The whole electrical power outage.",5.543333333333333,4.473333333333334,5.376666666666667,neutral,5.131111111111111,6 out of 8,"['hand', 'moment', 'whole', 'electrical', 'power', 'outage']","['besides', 'sort', 'hand', 'moment', 'whole', 'electrical', 'power', 'outage']"
63,Ses03M_impro08a_F014 [118.4295-121.2295]: I want to talk to a supervisor,5.64,4.24,5.793333333333333,neutral,5.224444444444444,3 out of 3,"['want', 'talk', 'supervisor']","['want', 'talk', 'supervisor']"
64,Ses03M_impro08a_F015 [121.3084-126.2775]: I would like to talk to your supervisor.,6.0675,3.91,6.0525,positive,5.343333333333334,4 out of 4,"['would', 'like', 'talk', 'supervisor']","['would', 'like', 'talk', 'supervisor']"
65,Obviously you're incompetent and don't understand what I'm asking.,4.013333333333334,4.82,4.13,neutral,4.321111111111112,3 out of 4,"['incompetent', 'neg-understand', 'ask']","['obviously', 'incompetent', 'understand', 'ask']"
66,Ses03M_impro08a_M012 [125.5676-133.9480]: Um- Let me connect you to my supervisor.,5.613333333333333,3.41,5.8566666666666665,neutral,4.96,3 out of 4,"['let', 'connect', 'supervisor']","['um', 'let', 'connect', 'supervisor']"
67,"Actually, he's out right now so I'm supervisor until he comes back.",5.5,3.8024999999999998,5.9675,neutral,5.09,4 out of 5,"['right', 'supervisor', 'come', 'back']","['actually', 'right', 'supervisor', 'come', 'back']"
68,Um-,nan,nan,nan,nan,nan,0,nan,['um']
69,Ses03M_impro08a_F016 [132.0353-134.4212]: What?,nan,nan,nan,nan,nan,0,nan,[]
70,"Ses03M_impro08a_M013 [134.2043-140.4156]: So you could----speak with me some more, you could call back later on maybe.",5.616666666666666,3.356666666666667,5.573333333333333,neutral,4.848888888888889,3 out of 7,"['speak', 'call', 'back']","['could', 'speak', 'could', 'call', 'back', 'later', 'maybe']"
71,Ses03M_impro08a_F017 [134.4804-137.0635]: That's ridiculous.,3.67,5.65,3.78,negative,4.366666666666666,1 out of 1,['ridiculous'],['ridiculous']
72,You know?,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
73,"Ses03M_impro08a_F018 [138.8579-146.9819]: No I don't want to call back, you put me on hold for like hours and hours----and it's money, money, money, money and out of my pocket, out of my pocket--",5.785714285714286,5.023571428571429,5.902142857142858,neutral,5.57047619047619,14 out of 14,"['neg-want', 'neg-call', 'back', 'put', 'hold', 'like', 'hour', 'hour', 'money', 'money', 'money', 'money', 'pocket', 'pocket']","['want', 'call', 'back', 'put', 'hold', 'like', 'hour', 'hour', 'money', 'money', 'money', 'money', 'pocket', 'pocket']"
74,Ses03M_impro08a_M014 [141.8945-144.4579]: I didn't put you on hold.,5.48,5.5,4.865,neutral,5.281666666666667,2 out of 2,"['neg-put', 'hold']","['put', 'hold']"
75,Ses03M_impro08a_M015 [144.5565-150.0974]: There are a lot of people calling us having problems.,5.133333333333333,3.9566666666666666,5.316666666666667,neutral,4.802222222222222,3 out of 5,"['people', 'call', 'problem']","['lot', 'people', 'call', 'us', 'problem']"
76,Every phone company is having the same problems ma'am,5.083333333333333,3.8433333333333333,4.793333333333334,neutral,4.573333333333333,3 out of 4,"['phone', 'company', 'problem']","['every', 'phone', 'company', 'problem']"
77,Ses03M_impro08a_F019 [149.4664-152.4439]: Every phone...every single phone company?,5.8025,3.5,4.6775,neutral,4.66,4 out of 6,"['phone', 'single', 'phone', 'company']","['every', 'phone', 'every', 'single', 'phone', 'company']"
78,Ses03M_impro08a_M016 [151.3989-157.4327]: Mmm hmmm.,nan,nan,nan,nan,nan,0,nan,"['mmm', 'hmmm']"
79,Mmm hmmm.,nan,nan,nan,nan,nan,0,nan,"['mmm', 'hmmm']"
80,"The power outages, everything, hurricane Katrina.",4.33,5.026666666666666,4.05,neutral,4.4688888888888885,3 out of 5,"['power', 'outage', 'hurricane']","['power', 'outage', 'everything', 'hurricane', 'katrina']"
