Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses05M_impro01_F000 [003.9419-005.5500]: Can I help you?,6.95,4.29,6.89,positive,6.043333333333333,1 out of 1,['help'],['help']
2,"Ses05M_impro01_M000 [005.1900-009.7600]: Yes, I'm um- just getting my I.D.",6.09,3.67,5.65,positive,5.136666666666667,1 out of 3,['get'],"['yes', 'um', 'get']"
3,I need a new I.D.,6.5649999999999995,4.404999999999999,5.14,positive,5.37,2 out of 2,"['need', 'new']","['need', 'new']"
4,"Ses05M_impro01_F001 [009.7900-019.0800]: Oh, this- this form that you have is the wrong form.",4.84,4.33,5.443333333333333,neutral,4.871111111111111,3 out of 4,"['form', 'wrong', 'form']","['oh', 'form', 'wrong', 'form']"
5,You need to go over to the other line on the other side of the D.M.V..,5.4775,3.7275,5.275,neutral,4.826666666666667,4 out of 4,"['need', 'go', 'line', 'side']","['need', 'go', 'line', 'side']"
6,Ses05M_impro01_M001 [018.8700-023.2300]: What do you mean?,2.43,4.81,4.17,negative,3.8033333333333332,1 out of 1,['mean'],['mean']
7,I filled out my forms and I rushed to get my I.D.,5.335,4.355,6.4225,neutral,5.370833333333334,4 out of 4,"['fill', 'form', 'rush', 'get']","['fill', 'form', 'rush', 'get']"
8,"Ses05M_impro01_F002 [021.8200-025.7400]: Right, but this is the wrong form.",5.4,4.713333333333333,5.673333333333334,neutral,5.262222222222222,3 out of 3,"['right', 'wrong', 'form']","['right', 'wrong', 'form']"
9,Somebody gave you the wrong form.,5.536666666666667,4.57,5.193333333333333,neutral,5.1000000000000005,3 out of 4,"['give', 'wrong', 'form']","['somebody', 'give', 'wrong', 'form']"
10,Ses05M_impro01_M002 [025.4600-026.9700]: The wrong form?,4.4399999999999995,4.57,4.93,neutral,4.6466666666666665,2 out of 2,"['wrong', 'form']","['wrong', 'form']"
11,Ses05M_impro01_F003 [025.9700-028.7700]: Yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
12,"So, I can't -- I can't do anything-",nan,nan,nan,nan,nan,0,nan,"['ca', 'ca', 'anything']"
13,Ses05M_impro01_M003 [027.5100-031.2200]: What's wrong about this form?,4.4399999999999995,4.57,4.93,neutral,4.6466666666666665,2 out of 2,"['wrong', 'form']","['wrong', 'form']"
14,It says new I.D.,6.795,4.785,6.05,positive,5.876666666666666,2 out of 2,"['say', 'new']","['say', 'new']"
15,on it.,nan,nan,nan,nan,nan,0,nan,[]
16,"Ses05M_impro01_F004 [030.5800-037.7100]: No, but this is for um- replacements and you need a new -- whole new license as a California --",6.338333333333333,4.395,5.5616666666666665,positive,5.431666666666666,6 out of 8,"['replacement', 'need', 'new', 'whole', 'new', 'license']","['um', 'replacement', 'need', 'new', 'whole', 'new', 'license', 'california']"
17,Ses05M_impro01_M004 [036.6600-040.1800]: What's the difference?,4.89,3.15,5.44,neutral,4.493333333333333,1 out of 1,['difference'],['difference']
18,What's the difference between that form and this form?,5.39,3.6166666666666667,6.126666666666667,neutral,5.044444444444444,3 out of 3,"['difference', 'form', 'form']","['difference', 'form', 'form']"
19,"Ses05M_impro01_F005 [039.6500-042.4300]: Sir, don't get an attitude with me.",4.88,5.3,4.526666666666666,neutral,4.902222222222222,3 out of 3,"['sir', 'neg-get', 'neg-attitude']","['sir', 'get', 'attitude']"
20,"Ses05M_impro01_M005 [042.0100-045.6200]: I'm not getting a -- well, you wait in this line and not get an attitude.",4.494,4.952,4.604,neutral,4.683333333333334,5 out of 6,"['neg-get', 'wait', 'line', 'neg-get', 'neg-attitude']","['get', 'well', 'wait', 'line', 'get', 'attitude']"
21,"Ses05M_impro01_F006 [045.1800-055.9300]: No, I understand and there are a lot of people here.",4.51,5.125,4.345000000000001,neutral,4.66,2 out of 3,"['neg-understand', 'people']","['understand', 'lot', 'people']"
22,But what I'm telling you is that it's different for different states and since your getting a new license in the state of California -- You have to fill out a different form than you did.,5.94,3.909090909090909,6.050909090909091,neutral,5.3,11 out of 13,"['tell', 'different', 'different', 'state', 'get', 'new', 'license', 'state', 'fill', 'different', 'form']","['tell', 'different', 'different', 'state', 'since', 'get', 'new', 'license', 'state', 'california', 'fill', 'different', 'form']"
23,Ses05M_impro01_M006 [051.9500-052.9600]: yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
24,Ses05M_impro01_M007 [053.0100-054.0700]: right.,7.32,5.0,7.16,positive,6.493333333333333,1 out of 1,['right'],['right']
25,"Ses05M_impro01_M008 [055.5000-061.3400]: Well then, when I showed them my I.D.",5.91,4.1,5.83,neutral,5.28,1 out of 2,['show'],"['well', 'show']"
26,"before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?",6.132857142857143,4.511428571428572,6.174285714285714,positive,5.606190476190477,7 out of 7,"['say', 'get', 'new', 'neg-tell', 'fill', 'right', 'form']","['say', 'get', 'new', 'tell', 'fill', 'right', 'form']"
27,Ses05M_impro01_F007 [060.2600-063.4300]: I don't know.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
28,I don't know who told you.,3.955,6.45,4.64,negative,5.015000000000001,2 out of 2,"['neg-know', 'neg-tell']","['know', 'tell']"
29,It wasn't me.,nan,nan,nan,nan,nan,0,nan,[]
30,"Ses05M_impro01_M009 [062.9300-068.2100]: Well, it was this girl standing right next to you.",7.235,5.115,6.215,positive,6.1883333333333335,2 out of 5,"['girl', 'right']","['well', 'girl', 'standing', 'right', 'next']"
31,Can we ask her why she didn't let me fill out the right form?,5.48,5.2540000000000004,5.416,neutral,5.383333333333334,5 out of 5,"['ask', 'neg-let', 'neg-fill', 'right', 'form']","['ask', 'let', 'fill', 'right', 'form']"
32,"Ses05M_impro01_F008 [066.1000-070.3800]: You- You can ask her if you want, but she's busy and she probably won't answer you.",5.315,4.8225,5.0425,neutral,5.06,4 out of 6,"['ask', 'want', 'busy', 'neg-answer']","['ask', 'want', 'busy', 'probably', 'wo', 'answer']"
33,Ses05M_impro01_M010 [070.0300-077.8600]: This is ridiculous.,3.67,5.65,3.78,negative,4.366666666666666,1 out of 1,['ridiculous'],['ridiculous']
34,I've been here for forty five minutes.,5.3,3.543333333333333,5.236666666666666,neutral,4.693333333333333,3 out of 3,"['forty', 'five', 'minute']","['forty', 'five', 'minute']"
35,Just standing in this one line.,5.3933333333333335,3.0033333333333334,5.446666666666666,neutral,4.614444444444445,3 out of 3,"['stand', 'one', 'line']","['stand', 'one', 'line']"
36,I took fifteen minutes to fill out that form.,5.292,3.826,5.402,neutral,4.84,5 out of 5,"['take', 'fifteen', 'minute', 'fill', 'form']","['take', 'fifteen', 'minute', 'fill', 'form']"
37,Ses05M_impro01_F009 [073.0300-074.4200]: I know.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
38,"Ses05M_impro01_F010 [074.4300-076.7300]: Sir, you- I mean",3.9400000000000004,4.57,4.640000000000001,negative,4.383333333333334,2 out of 2,"['sir', 'mean']","['sir', 'mean']"
39,Ses05M_impro01_M011 [077.8700-080.9800]: Do you know how long it's gonna take me to start all over and fill out the new form?,6.155,4.151666666666666,5.763333333333334,positive,5.3566666666666665,6 out of 9,"['know', 'take', 'start', 'fill', 'new', 'form']","['know', 'long', 'gon', 'na', 'take', 'start', 'fill', 'new', 'form']"
40,Ses05M_impro01_F011 [077.8100-080.1400]: You can waist as much as you want,5.66,4.645,5.72,neutral,5.341666666666666,2 out of 3,"['waist', 'want']","['waist', 'much', 'want']"
41,Ses05M_impro01_F012 [080.1500-083.7500]: Yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
42,I know it's gonna take a minute.,5.713333333333334,3.84,4.926666666666667,neutral,4.826666666666667,3 out of 5,"['know', 'take', 'minute']","['know', 'gon', 'na', 'take', 'minute']"
43,But you-- so you might as well get started now.,6.25,4.24,5.575,positive,5.355,2 out of 4,"['get', 'start']","['might', 'well', 'get', 'start']"
44,Ses05M_impro01_M012 [083.5200-086.3200]: Might as well get started now?,6.25,4.24,5.575,positive,5.355,2 out of 4,"['get', 'start']","['might', 'well', 'get', 'start']"
45,but Just take this one.,5.455,3.5949999999999998,5.195,neutral,4.748333333333334,2 out of 2,"['take', 'one']","['take', 'one']"
46,"Ses05M_impro01_F013 [085.8300-089.2300]: I can't take this one, sir.",4.846666666666667,5.713333333333334,4.906666666666667,neutral,5.155555555555556,3 out of 4,"['neg-take', 'neg-one', 'sir']","['ca', 'take', 'one', 'sir']"
47,this is the wrong form.,4.4399999999999995,4.57,4.93,neutral,4.6466666666666665,2 out of 2,"['wrong', 'form']","['wrong', 'form']"
48,Ses05M_impro01_M013 [087.4100-098.7300]: Why can't we just -- you know what?,6.82,3.24,5.78,positive,5.28,1 out of 2,['know'],"['ca', 'know']"
49,How about if we just pretend that I'm getting a -- renewing my California I.D.,5.57,4.036666666666666,5.890000000000001,neutral,5.165555555555556,3 out of 4,"['pretend', 'get', 'renew']","['pretend', 'get', 'renew', 'california']"
50,and we just don't tell anybody -- That I'm getting a new one from a different state?,6.038333333333333,4.1433333333333335,5.601666666666667,positive,5.261111111111111,6 out of 7,"['neg-tell', 'get', 'new', 'one', 'different', 'state']","['tell', 'anybody', 'get', 'new', 'one', 'different', 'state']"
51,"Ses05M_impro01_F014 [094.4000-097.0300]: Sir, please don't waste my time.",5.746666666666667,5.626666666666667,5.39,neutral,5.587777777777778,3 out of 4,"['sir', 'neg-waste', 'neg-time']","['sir', 'please', 'waste', 'time']"
52,Ses05M_impro01_F015 [097.6000-103.3300]: There is nothing I can do about it.,nan,nan,nan,nan,nan,0,nan,['nothing']
53,You need to take this other form and fill it out and go stand in the other line.,5.411428571428571,3.7985714285714285,5.607142857142857,neutral,4.939047619047618,7 out of 7,"['need', 'take', 'form', 'fill', 'go', 'stand', 'line']","['need', 'take', 'form', 'fill', 'go', 'stand', 'line']"
54,Ses05M_impro01_M014 [102.6700-114.3100]: Come on!,5.64,3.57,5.94,neutral,5.05,1 out of 1,['come'],['come']
55,You know -- you can't just take -- make a little exception to the rule?,5.625,4.101666666666667,5.013333333333334,neutral,4.913333333333333,6 out of 7,"['know', 'neg-take', 'make', 'little', 'exception', 'rule']","['know', 'ca', 'take', 'make', 'little', 'exception', 'rule']"
56,I know that you guys make exceptions.,6.1775,3.9924999999999997,5.3100000000000005,positive,5.16,4 out of 4,"['know', 'guy', 'make', 'exception']","['know', 'guy', 'make', 'exception']"
57,"I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?",6.366666666666667,3.9,5.734444444444445,positive,5.333703703703704,9 out of 11,"['see', 'know', 'friend', 'know', 'like', 'make', 'little', 'exception', 'would']","['see', 'know', 'friend', 'know', 'something', 'like', 'probably', 'make', 'little', 'exception', 'would']"
58,"Ses05M_impro01_F016 [106.9700-110.5800]: They're different forms, we process them all different-",5.77,3.9125,6.38,neutral,5.354166666666667,4 out of 4,"['different', 'form', 'process', 'different']","['different', 'form', 'process', 'different']"
59,Ses05M_impro01_M015 [114.3200-119.0300]: Wouldn't you?,5.91,3.81,5.94,neutral,5.22,1 out of 1,['would'],['would']
60,"Oh, come on.",5.64,3.57,5.94,neutral,5.05,1 out of 2,['come'],"['oh', 'come']"
61,you just tell me.,5.27,3.86,4.94,neutral,4.69,1 out of 1,['tell'],['tell']
62,You would make an exception for me.,5.75,3.9433333333333334,5.426666666666667,neutral,5.04,3 out of 3,"['would', 'make', 'exception']","['would', 'make', 'exception']"
63,Ses05M_impro01_F017 [114.5400-117.3100]: I -- there's no way I'd make an exception.,5.1433333333333335,5.04,5.17,neutral,5.1177777777777775,3 out of 3,"['neg-way', 'make', 'exception']","['way', 'make', 'exception']"
64,"Ses05M_impro01_F018 [117.6100-123.9600]: Sir, don't patronize me.",5.984999999999999,5.59,4.6899999999999995,neutral,5.421666666666667,2 out of 2,"['sir', 'neg-patronize']","['sir', 'patronize']"
65,I can't make an exception.,4.33,5.99,4.83,neutral,5.05,2 out of 3,"['neg-make', 'neg-exception']","['ca', 'make', 'exception']"
66,I don't- I don't have the power to do that.,4.03,4.59,3.83,neutral,4.15,1 out of 1,['neg-power'],['power']
67,It's a different form.,5.775,3.9000000000000004,6.47,neutral,5.381666666666667,2 out of 2,"['different', 'form']","['different', 'form']"
68,Ses05M_impro01_M016 [122.3700-125.0800]: Shh...I know you've got the power to do that.,6.293333333333333,4.1066666666666665,5.866666666666667,positive,5.422222222222222,3 out of 4,"['know', 'get', 'power']","['shh', 'know', 'get', 'power']"
69,Ses05M_impro01_F019 [124.0000-126.8700]: They're processed differently.,5.62,3.9,6.11,neutral,5.21,1 out of 2,['process'],"['process', 'differently']"
70,Ses05M_impro01_M017 [125.0900-127.9500]: That's crap- You're crap.,3.44,4.62,4.11,negative,4.0566666666666675,2 out of 2,"['crap', 'crap']","['crap', 'crap']"
71,I don't buy it.,3.1799999999999997,5.71,3.2199999999999998,negative,4.036666666666666,1 out of 1,['neg-buy'],['buy']
72,"Ses05M_impro01_F020 [127.4900-130.6000]: Sir, you're gonna have to go stand in the other line.",5.465,3.8825000000000003,5.305,neutral,4.884166666666666,4 out of 6,"['sir', 'go', 'stand', 'line']","['sir', 'gon', 'na', 'go', 'stand', 'line']"
73,Ses05M_impro01_M018 [129.6400-135.3100]: I'm not leaving this line until I get my new I.D.,6.0675,5.2725,5.1275,positive,5.489166666666667,4 out of 4,"['neg-leave', 'neg-line', 'get', 'new']","['leave', 'line', 'get', 'new']"
74,That's as simple as it is.,7.17,2.71,6.5,positive,5.46,1 out of 1,['simple'],['simple']
75,I'm not leaving this line until I get my new I.D.,6.0675,5.2725,5.1275,positive,5.489166666666667,4 out of 4,"['neg-leave', 'neg-line', 'get', 'new']","['leave', 'line', 'get', 'new']"
76,Ses05M_impro01_F021 [132.8200-137.3100]: I'm gonna- I'm gonna bring security over and have them escort you out.,5.8133333333333335,4.6000000000000005,5.783333333333333,neutral,5.398888888888888,3 out of 7,"['bring', 'security', 'escort']","['gon', 'na', 'gon', 'na', 'bring', 'security', 'escort']"
77,"Ses05M_impro01_M019 [136.6900-143.2400]: Well, then you're just gonna look stupid because I'm just waiting for an I.D.",4.446666666666666,3.9066666666666667,5.073333333333333,neutral,4.475555555555555,3 out of 6,"['look', 'stupid', 'wait']","['well', 'gon', 'na', 'look', 'stupid', 'wait']"
78,and you're gonna make security take me out because I want my I.D.,5.83,4.4175,5.609999999999999,neutral,5.285833333333334,4 out of 6,"['make', 'security', 'take', 'want']","['gon', 'na', 'make', 'security', 'take', 'want']"
79,Ses05M_impro01_M020 [143.2500-144.9700]: That's just dumb.,2.44,5.3,4.39,negative,4.043333333333333,1 out of 1,['dumb'],['dumb']
80,Ses05M_impro01_F022 [142.9300-147.7700]: But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.,4.387142857142857,4.067142857142858,4.837142857142857,neutral,4.430476190476191,7 out of 7,"['fill', 'wrong', 'form', 'wrong', 'line', 'waste', 'time']","['fill', 'wrong', 'form', 'wrong', 'line', 'waste', 'time']"
