Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses04M_script03_1_M000 [007.4200-009.3200]: Good God.,6.895,4.609999999999999,5.705,positive,5.736666666666667,2 out of 2,"['good', 'god']","['good', 'god']"
2,Ses04M_script03_1_F000 [008.8800-010.2100]: Do you think it's them?,6.68,3.75,6.5,positive,5.6433333333333335,1 out of 1,['think'],['think']
3,Ses04M_script03_1_M001 [009.8600-010.9100]: I wonder.,6.68,4.38,6.44,positive,5.833333333333333,1 out of 1,['wonder'],['wonder']
4,"Ses04M_script03_1_F001 [010.5800-013.5400]: Nobody knows we're here, except Freda and she wouldn't ring up.",5.213333333333334,4.206666666666667,5.426666666666667,neutral,4.948888888888889,3 out of 6,"['know', 'would', 'neg-ring']","['nobody', 'know', 'except', 'freda', 'would', 'ring']"
5,"Ses04M_script03_1_M002 [013.1500-014.6900]: It must be them, then.",5.45,4.1,5.06,neutral,4.87,1 out of 1,['must'],['must']
6,Ses04M_script03_1_F002 [014.2900-016.2800]: What are we to do?,nan,nan,nan,nan,nan,0,nan,[]
7,"Ses04M_script03_1_M003 [015.7076-019.1500]: We'll be alright, darling.",7.32,3.95,5.44,positive,5.57,1 out of 2,['darling'],"['alright', 'darling']"
8,"Whatever happens, aren't we?",5.5,3.43,5.53,neutral,4.82,1 out of 2,['happen'],"['whatever', 'happen']"
9,Ses04M_script03_1_F003 [018.5500-021.4700]: Now and always sweet.,7.77,4.14,6.12,positive,6.010000000000001,1 out of 2,['sweet'],"['always', 'sweet']"
10,"Ses04M_script03_1_M004 [020.7000-022.8700]: I don't care, then.",2.3600000000000003,7.33,3.4400000000000004,negative,4.376666666666668,1 out of 1,['neg-care'],['care']
11,Ses04M_script03_1_F004 [022.3900-025.2600]: It was bound to come sooner or later.,5.23,4.05,5.09,neutral,4.79,2 out of 4,"['bind', 'come']","['bind', 'come', 'sooner', 'later']"
12,"Ses04M_script03_1_M005 [024.4900-028.9700]: Hello, hello.",nan,nan,nan,nan,nan,0,nan,"['hello', 'hello']"
13,What?,nan,nan,nan,nan,nan,0,nan,[]
14,Wrong number.,4.415,4.395,4.76,neutral,4.5233333333333325,2 out of 2,"['wrong', 'number']","['wrong', 'number']"
15,"Ses04M_script03_1_F005 [028.5700-031.8200]: Oh, it sent shivers up my spine.",5.04,3.74,4.833333333333333,neutral,4.5377777777777775,3 out of 4,"['send', 'shiver', 'spine']","['oh', 'send', 'shiver', 'spine']"
16,Ses04M_script03_1_M006 [031.2700-034.0200]: What shall we do if they suddenly walk in on us?,6.3149999999999995,3.38,5.859999999999999,positive,5.185,2 out of 4,"['shall', 'walk']","['shall', 'suddenly', 'walk', 'us']"
17,Ses04M_script03_1_F006 [033.5400-035.3900]: Behave exquisitely.,6.25,3.72,7.05,positive,5.673333333333333,1 out of 2,['behave'],"['behave', 'exquisitely']"
18,Ses04M_script03_1_M007 [034.9700-037.4500]: With the mo- with the most perfect poise?,6.345000000000001,4.24,6.365,positive,5.650000000000001,2 out of 3,"['perfect', 'poise']","['mo', 'perfect', 'poise']"
19,Ses04M_script03_1_F007 [037.1200-040.0400]: Certainly.,nan,nan,nan,nan,nan,0,nan,['certainly']
20,I shall probably do a court curtsey.,4.69,3.9749999999999996,4.915,neutral,4.526666666666666,2 out of 4,"['shall', 'court']","['shall', 'probably', 'court', 'curtsey']"
21,Ses04M_script03_1_M008 [039.5600-044.2200]: Ah.,nan,nan,nan,nan,nan,0,nan,['ah']
