Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,"Ses03F_impro02_F000 [007.6300-009.5400]: How's it going, babe?",6.59,4.555,6.0600000000000005,positive,5.734999999999999,2 out of 2,"['go', 'babe']","['go', 'babe']"
2,Ses03F_impro02_F001 [012.1900-013.2100]: Yeah?,nan,nan,nan,nan,nan,0,nan,['yeah']
3,Ses03F_impro02_M000 [010.0719-011.8800]: All right.,7.32,5.0,7.16,positive,6.493333333333333,1 out of 1,['right'],['right']
4,Ses03F_impro02_F002 [013.8600-015.4425]: Good.,7.89,3.66,6.41,positive,5.986666666666667,1 out of 1,['good'],['good']
5,"Ses03F_impro02_F003 [016.2350-025.7100]: Hey listen,eh- I've been wanting to talk to you.",6.516666666666667,4.1433333333333335,5.796666666666667,positive,5.485555555555556,3 out of 5,"['listen', 'want', 'talk']","['hey', 'listen', 'eh', 'want', 'talk']"
6,I have something to tell you.,5.27,3.86,4.94,neutral,4.69,1 out of 2,['tell'],"['something', 'tell']"
7,How's Amy doing?,nan,nan,nan,nan,nan,0,nan,['amy']
8,Ses03F_impro02_M001 [025.8175-033.2575]: She's doing fine.,6.5,3.86,5.78,positive,5.38,1 out of 1,['fine'],['fine']
9,She just took her first steps today actually.,5.943333333333333,4.3,5.736666666666666,neutral,5.326666666666666,3 out of 5,"['take', 'first', 'step']","['take', 'first', 'step', 'today', 'actually']"
10,I videotaped it for you so you can watch it.,5.5649999999999995,4.02,6.07,neutral,5.218333333333333,2 out of 2,"['videotape', 'watch']","['videotape', 'watch']"
11,Ses03F_impro02_F004 [028.8225-030.3400]: yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
12,Ses03F_impro02_F005 [031.4600-032.5950]: oh.,nan,nan,nan,nan,nan,0,nan,['oh']
13,Ses03F_impro02_F006 [032.7525-044.4150]: I really want to say that.,5.955,4.859999999999999,6.135,neutral,5.6499999999999995,2 out of 3,"['want', 'say']","['really', 'want', 'say']"
14,"Well I, so, you know, at the center department they called me in and I talked to-",6.106,3.0060000000000002,5.676,positive,4.929333333333333,5 out of 6,"['know', 'center', 'department', 'call', 'talk']","['well', 'know', 'center', 'department', 'call', 'talk']"
15,"Ses03F_impro02_M002 [043.9400-045.9400]: Oh, yeah?",nan,nan,nan,nan,nan,0,nan,"['oh', 'yeah']"
16,What did they say?,5.91,4.43,6.88,neutral,5.739999999999999,1 out of 1,['say'],['say']
17,Ses03F_impro02_F007 [045.3025-050.7600]: Well umm- actually they--I was promoted.,6.55,4.7,6.08,positive,5.776666666666666,1 out of 4,['promote'],"['well', 'umm', 'actually', 'promote']"
18,"Ses03F_impro02_M003 [050.3100-053.0775]: Oh, wow.",nan,nan,nan,nan,nan,0,nan,"['oh', 'wow']"
19,That's great.,7.5,4.14,6.65,positive,6.096666666666667,1 out of 1,['great'],['great']
20,Ses03F_impro02_F008 [051.3100-064.6400]: And Uh- Yeah.,nan,nan,nan,nan,nan,0,nan,"['uh', 'yeah']"
21,Uh- They're going to need um- more nurses on call for uh- to go overseas to help out with the war.,5.551428571428572,4.554285714285714,5.295714285714285,neutral,5.133809523809524,7 out of 11,"['go', 'need', 'nurse', 'call', 'go', 'help', 'war']","['uh', 'go', 'need', 'um', 'nurse', 'call', 'uh', 'go', 'overseas', 'help', 'war']"
22,"Ses03F_impro02_F009 [064.7600-074.8875]: And uh - seeing as I was uh- promoted and head of the department now, and so- well, they asked me to go.",6.046666666666667,3.981666666666667,5.681666666666667,positive,5.236666666666667,6 out of 9,"['see', 'promote', 'head', 'department', 'ask', 'go']","['uh', 'see', 'uh', 'promote', 'head', 'department', 'well', 'ask', 'go']"
23,Ses03F_impro02_F010 [075.0900-076.9100]: yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
24,Ses03F_impro02_M004 [076.0425-077.4100]: when?,nan,nan,nan,nan,nan,0,nan,[]
25,Ses03F_impro02_F011 [077.0475-081.4500]: It's going- It's going to be probably in about three weeks.,5.835,4.1075,5.3475,neutral,5.096666666666667,4 out of 5,"['go', 'go', 'three', 'week']","['go', 'go', 'probably', 'three', 'week']"
26,Ses03F_impro02_M005 [081.9000-086.2325]: What?,nan,nan,nan,nan,nan,0,nan,[]
27,You can't do that.,nan,nan,nan,nan,nan,0,nan,['ca']
28,Three weeks?,5.35,3.355,5.365,neutral,4.69,2 out of 2,"['three', 'week']","['three', 'week']"
29,Ses03F_impro02_F012 [082.8900-083.8900]: yeah,nan,nan,nan,nan,nan,0,nan,['yeah']
30,"Ses03F_impro02_F013 [086.3275-091.1400]: Well, I'm leaving in three weeks, but-- Yeah.",5.126666666666666,3.73,5.4,neutral,4.752222222222222,3 out of 5,"['leave', 'three', 'week']","['well', 'leave', 'three', 'week', 'yeah']"
31,"Ses03F_impro02_M006 [089.9300-093.4225]: God, we're supposed to take a look at a house next week.",5.733333333333333,4.075,5.418333333333333,neutral,5.075555555555556,6 out of 7,"['god', 'suppose', 'take', 'look', 'house', 'week']","['god', 'suppose', 'take', 'look', 'house', 'next', 'week']"
32,Ses03F_impro02_F014 [093.2800-095.9750]: Maybe we can still do that,nan,nan,nan,nan,nan,0,nan,"['maybe', 'still']"
33,"Ses03F_impro02_M007 [094.9800-098.1925]: I can't- No, I can't do this alone.",6.15,6.0,5.5,positive,5.883333333333333,1 out of 3,['neg-alone'],"['ca', 'ca', 'alone']"
34,"Ses03F_impro02_F015 [099.0150-100.8800]: Yeah, and uh--",nan,nan,nan,nan,nan,0,nan,"['yeah', 'uh']"
35,Ses03F_impro02_M008 [099.5000-102.7700]: Amy's starting school in a month.,5.866666666666667,4.34,5.476666666666667,neutral,5.227777777777778,3 out of 4,"['start', 'school', 'month']","['amy', 'start', 'school', 'month']"
36,"Ses03F_impro02_F016 [102.3075-109.1800]: I know, but look, I have to take this.",5.863333333333333,3.84,5.496666666666667,neutral,5.066666666666666,3 out of 3,"['know', 'look', 'take']","['know', 'look', 'take']"
37,"I mean, if I don't, I mean, I could get fired.",5.1025,4.93,5.055,neutral,5.029166666666666,4 out of 5,"['mean', 'neg-mean', 'get', 'fire']","['mean', 'mean', 'could', 'get', 'fire']"
38,Ses03F_impro02_F017 [109.2300-113.5000]: And we know you need-we need the money.,6.456666666666667,4.59,5.72,positive,5.588888888888889,3 out of 3,"['know', 'need', 'money']","['know', 'need', 'money']"
39,We couldn't even- purchase a house if I didn't take this.,5.3,4.776666666666667,4.98,neutral,5.018888888888889,3 out of 5,"['neg-purchase', 'house', 'neg-take']","['could', 'even', 'purchase', 'house', 'take']"
40,Ses03F_impro02_M009 [111.5275-112.8100]: God.,5.9,5.56,5.0,neutral,5.486666666666667,1 out of 1,['god'],['god']
