Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,I am very happy today.,8.47,6.05,7.21,positive,7.243333333333333,1 out of 2,['happy'],"['happy', 'today']"
2,Are you angry to me...?,2.53,6.2,4.11,negative,4.28,1 out of 1,['angry'],['angry']
3,"Oh my dear, you looks so beautiful.",6.78,4.734999999999999,6.025,positive,5.846666666666667,2 out of 4,"['look', 'beautiful']","['oh', 'dear', 'look', 'beautiful']"
4,"Oh my god, how pity you are.",4.54,4.8149999999999995,4.76,neutral,4.705,2 out of 3,"['god', 'pity']","['oh', 'god', 'pity']"
5,"Let's take a rest, I am so tired.",5.73,3.2975,5.4325,neutral,4.82,4 out of 4,"['let', 'take', 'rest', 'tired']","['let', 'take', 'rest', 'tired']"
6,Excuse me.,4.52,3.61,4.72,neutral,4.283333333333332,1 out of 1,['excuse'],['excuse']
7,Do you have your forms?,5.64,3.85,6.47,neutral,5.32,1 out of 1,['form'],['form']
8,Yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
9,Let me see them.,6.109999999999999,3.3049999999999997,6.029999999999999,positive,5.1483333333333325,2 out of 2,"['let', 'see']","['let', 'see']"
10,Is there a problem?,3.52,4.81,4.94,negative,4.423333333333333,1 out of 1,['problem'],['problem']
