Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses03M_impro08b_F000 [012.9400-015.5800]: Hello.,nan,nan,nan,nan,nan,0,nan,['hello']
2,Ses03M_impro08b_M000 [015.1200-017.5200]: Hello?,nan,nan,nan,nan,nan,0,nan,['hello']
3,Ses03M_impro08b_F001 [017.5400-025.3200]: Oh God I finally got...you know how long I've been waiting on line?,5.636,3.866,5.326,neutral,4.942666666666667,5 out of 8,"['god', 'get', 'know', 'wait', 'line']","['oh', 'god', 'finally', 'get', 'know', 'long', 'wait', 'line']"
4,You put on hold for like five hours.,5.806,4.01,5.958,neutral,5.258,5 out of 5,"['put', 'hold', 'like', 'five', 'hour']","['put', 'hold', 'like', 'five', 'hour']"
5,Geez.,nan,nan,nan,nan,nan,0,nan,['geez']
6,Ses03M_impro08b_M001 [024.1300-031.9200]: I'm sorry ma'am.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
7,What's the nature of your problem?,5.2,4.404999999999999,4.970000000000001,neutral,4.858333333333333,2 out of 2,"['nature', 'problem']","['nature', 'problem']"
8,But first can I get you to tell me your first and last name?,6.328,4.074,5.698,positive,5.366666666666667,5 out of 6,"['first', 'get', 'tell', 'first', 'name']","['first', 'get', 'tell', 'first', 'last', 'name']"
9,Ses03M_impro08b_F002 [030.8800-036.9400]: I've already been through this five times with these people.,5.566666666666666,3.5766666666666667,5.136666666666667,neutral,4.76,3 out of 4,"['five', 'time', 'people']","['already', 'five', 'time', 'people']"
10,I've been calling every single day.,5.976666666666667,3.586666666666667,5.343333333333334,neutral,4.9688888888888885,3 out of 4,"['call', 'single', 'day']","['call', 'every', 'single', 'day']"
11,Ses03M_impro08b_M002 [034.9200-039.0800]: I know I just need to verify every time.,5.825,3.6325000000000003,5.4425,neutral,4.966666666666666,4 out of 5,"['know', 'need', 'verify', 'time']","['know', 'need', 'verify', 'every', 'time']"
12,I'm sorry.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
13,Ses03M_impro08b_F003 [037.9400-042.0300]: Olivia Brown.,5.52,3.32,4.65,neutral,4.496666666666667,1 out of 2,['brown'],"['olivia', 'brown']"
14,Ses03M_impro08b_M003 [042.0800-045.5900]: Alright Ms. Brown what's the nature of your problem?,5.306666666666667,4.043333333333333,4.863333333333333,neutral,4.737777777777778,3 out of 4,"['brown', 'nature', 'problem']","['alright', 'brown', 'nature', 'problem']"
15,Ses03M_impro08b_F004 [044.6900-049.2100]: Well my phone isn't working and it hasn't been working for the last five days.,5.55,4.388,4.688,neutral,4.875333333333333,5 out of 7,"['phone', 'neg-work', 'neg-work', 'five', 'day']","['well', 'phone', 'work', 'work', 'last', 'five', 'day']"
16,Ses03M_impro08b_M004 [048.4800-052.7900]: Oh.,nan,nan,nan,nan,nan,0,nan,['oh']
17,I'm sorry.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
18,Um- Did you drop it in water?,5.615,4.1899999999999995,5.470000000000001,neutral,5.091666666666667,2 out of 3,"['drop', 'water']","['um', 'drop', 'water']"
19,"Ses03M_impro08b_F005 [049.6500-052.0100]: Yeah, yeah, yeah you better be sorry.",4.81,4.62,5.65,neutral,5.026666666666666,1 out of 5,['sorry'],"['yeah', 'yeah', 'yeah', 'better', 'sorry']"
20,Ses03M_impro08b_F006 [052.2600-058.7975]: No I did not drop my phone in water.,5.56,5.203333333333333,5.62,neutral,5.461111111111111,3 out of 3,"['neg-drop', 'neg-phone', 'water']","['drop', 'phone', 'water']"
21,I'm not five years old and just dropped my phone anywhere I see it.,5.375,5.1066666666666665,4.93,neutral,5.1372222222222215,6 out of 7,"['neg-five', 'neg-year', 'neg-old', 'drop', 'phone', 'see']","['five', 'year', 'old', 'drop', 'phone', 'anywhere', 'see']"
22,Okay this is my business.,5.48,3.71,5.35,neutral,4.846666666666667,1 out of 2,['business'],"['okay', 'business']"
23,Ses03M_impro08b_F007 [058.8600-065.3000]: Okay?,nan,nan,nan,nan,nan,0,nan,['okay']
24,And it [GARBAGE].,2.88,3.84,5.15,negative,3.956666666666667,1 out of 1,['garbage'],['garbage']
25,My business is failing because my phone isn't working and I don't have a land line and I really can't handle this right now.,4.25125,5.0025,4.275,neutral,4.5095833333333335,8 out of 10,"['business', 'fail', 'phone', 'neg-work', 'neg-land', 'line', 'neg-handle', 'neg-right']","['business', 'fail', 'phone', 'work', 'land', 'line', 'really', 'ca', 'handle', 'right']"
26,Ses03M_impro08b_MXX0 [059.9762-060.6603]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
27,Ses03M_impro08b_M005 [064.7700-075.6700]: Um- well it's probably easy.,7.47,3.82,6.79,positive,6.026666666666666,1 out of 4,['easy'],"['um', 'well', 'probably', 'easy']"
28,"Can you any more symptoms either you're not receiving calls----ok, you're not receiving calls, not getting calls.",3.488571428571429,6.0042857142857144,4.134285714285714,negative,4.542380952380952,7 out of 9,"['symptom', 'neg-receive', 'neg-call', 'neg-receive', 'neg-call', 'neg-get', 'neg-call']","['symptom', 'either', 'receive', 'call', 'ok', 'receive', 'call', 'get', 'call']"
29,Ses03M_impro08b_F008 [069.8200-077.4600]: the symptoms- This [GARBAGE] a doctor's office.,4.17,3.7775,5.0,neutral,4.315833333333333,4 out of 4,"['symptom', 'garbage', 'doctor', 'office']","['symptom', 'garbage', 'doctor', 'office']"
30,"I'm not receiving calls...I can't receive- no, it's, it cuts me off--",3.3600000000000003,5.795,3.84,negative,4.331666666666667,4 out of 5,"['neg-receive', 'neg-call', 'neg-receive', 'cut']","['receive', 'call', 'ca', 'receive', 'cut']"
31,Ses03M_impro08b_M006 [075.9800-078.5000]: Is the phone turned on?,5.77,3.455,5.16,neutral,4.795,2 out of 2,"['phone', 'turn']","['phone', 'turn']"
32,Ses03M_impro08b_F009 [078.1800-083.7000]: Yes the phone turns on.,5.77,3.455,5.16,neutral,4.795,2 out of 3,"['phone', 'turn']","['yes', 'phone', 'turn']"
33,No I mean I'm using it not turning on the phone.,5.8475,4.8325000000000005,4.8475,neutral,5.175833333333333,4 out of 4,"['neg-mean', 'use', 'neg-turn', 'phone']","['mean', 'use', 'turn', 'phone']"
34,Of course it turns on.,5.45,3.48,5.88,neutral,4.9366666666666665,1 out of 2,['turn'],"['course', 'turn']"
35,"Ses03M_impro08b_M007 [083.1500-088.9800]: Well, um- okay.",nan,nan,nan,nan,nan,0,nan,"['well', 'um', 'okay']"
36,Your sim card is in- didn't fall out-,5.805,4.215,5.615,neutral,5.211666666666667,2 out of 3,"['card', 'neg-fall']","['sim', 'card', 'fall']"
