Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses02M_script02_1_M000 [004.9300-008.2800]: What time is it?,5.6,3.41,4.36,neutral,4.456666666666667,1 out of 1,['time'],['time']
2,They're supposed to run around midnight.,5.953333333333333,4.206666666666667,5.6033333333333335,neutral,5.254444444444444,3 out of 4,"['suppose', 'run', 'midnight']","['suppose', 'run', 'around', 'midnight']"
3,"Ses02M_script02_1_M001 [008.3600-012.7800]: God, this great, isn't it?",6.7,4.85,5.825,positive,5.791666666666667,2 out of 2,"['god', 'great']","['god', 'great']"
4,"Like look at the night we go here, it couldn't be better.",6.5975,4.1475,5.6775,positive,5.474166666666666,4 out of 6,"['like', 'look', 'night', 'go']","['like', 'look', 'night', 'go', 'could', 'better']"
5,"Ses02M_script02_1_M002 [013.1700-019.0800]: I would have wanted to go a little further up the coast, get away from the lights and the people but I was afraid we'd miss it.",5.473,4.231,5.239,neutral,4.981000000000001,10 out of 11,"['would', 'want', 'go', 'little', 'coast', 'get', 'light', 'people', 'afraid', 'miss']","['would', 'want', 'go', 'little', 'coast', 'get', 'away', 'light', 'people', 'afraid', 'miss']"
6,Ses02M_script02_1_M003 [019.1100-020.5400]: How you doing?,nan,nan,nan,nan,nan,0,nan,[]
7,Ses02M_script02_1_F000 [020.1900-021.5800]: Fine.,6.5,3.86,5.78,positive,5.38,1 out of 1,['fine'],['fine']
8,"Ses02M_script02_1_M004 [021.9200-028.1800]: Is that -- is that, no?",nan,nan,nan,nan,nan,0,nan,[]
9,Was that just foam?,5.25,2.9,5.1,neutral,4.416666666666667,1 out of 1,['foam'],['foam']
10,I can't even tell.,4.73,6.140000000000001,5.06,neutral,5.31,1 out of 3,['neg-tell'],"['ca', 'even', 'tell']"
11,"Ses02M_script02_1_M005 [028.3900-034.0000]: Although, I guess you can't tell it probably isn't them.",4.955,5.0,4.975,neutral,4.976666666666667,2 out of 5,"['guess', 'neg-tell']","['although', 'guess', 'ca', 'tell', 'probably']"
12,Probably be unmistakable don't you think?,4.71,5.29,4.68,neutral,4.8933333333333335,2 out of 3,"['unmistakable', 'neg-think']","['probably', 'unmistakable', 'think']"
13,Ses02M_script02_1_M006 [034.4100-043.2700]: How you doing?,nan,nan,nan,nan,nan,0,nan,[]
14,You know what I forgot?,5.275,3.835,4.640000000000001,neutral,4.583333333333333,2 out of 2,"['know', 'forget']","['know', 'forget']"
15,I forgot to bring my flashlight.,5.136666666666667,4.253333333333333,5.093333333333333,neutral,4.827777777777778,3 out of 3,"['forget', 'bring', 'flashlight']","['forget', 'bring', 'flashlight']"
16,How - how could I forget to bring my flashlight?,5.136666666666667,4.253333333333333,5.093333333333333,neutral,4.827777777777778,3 out of 4,"['forget', 'bring', 'flashlight']","['could', 'forget', 'bring', 'flashlight']"
17,How could I be so stupid?,2.84,4.34,4.03,negative,3.736666666666667,1 out of 2,['stupid'],"['could', 'stupid']"
18,Ses02M_script02_1_F001 [042.8600-044.9500]: What flashlight?,6.0,4.04,6.06,neutral,5.366666666666666,1 out of 1,['flashlight'],['flashlight']
19,"Ses02M_script02_1_M007 [045.2400-048.4500]: You know the flashlight, the silver one, there is only one, isn't there?",6.496,3.324,6.002,positive,5.274,5 out of 5,"['know', 'flashlight', 'silver', 'one', 'one']","['know', 'flashlight', 'silver', 'one', 'one']"
20,Ses02M_script02_1_F002 [048.0000-049.8300]: That's not your flashlight.,4.0,5.96,3.9400000000000004,neutral,4.633333333333334,1 out of 1,['neg-flashlight'],['flashlight']
21,Ses02M_script02_1_M008 [050.4000-051.7500]: Who's is it?,nan,nan,nan,nan,nan,0,nan,[]
22,Ses02M_script02_1_F003 [051.4000-053.8400]: It's ours; it's mine too.,nan,nan,nan,nan,nan,0,nan,['mine']
23,"Ses02M_script02_1_M009 [053.5400-055.8100]: Oh well, sure, yes.",6.64,3.48,6.82,positive,5.646666666666666,1 out of 4,['sure'],"['oh', 'well', 'sure', 'yes']"
24,Ses02M_script02_1_F004 [054.9500-060.1700]: But you kept saying my flashlight as if somehow it's just yours.,6.076666666666667,3.966666666666667,6.216666666666667,positive,5.419999999999999,3 out of 4,"['keep', 'say', 'flashlight']","['keep', 'say', 'flashlight', 'somehow']"
25,I mean how is it supposed to make me feel?,5.015,3.965,5.25,neutral,4.743333333333333,4 out of 4,"['mean', 'suppose', 'make', 'feel']","['mean', 'suppose', 'make', 'feel']"
26,Ses02M_script02_1_M010 [059.6100-066.0400]: No.,nan,nan,nan,nan,nan,0,nan,[]
27,No.,nan,nan,nan,nan,nan,0,nan,[]
28,Of course our flashlight yours and mine.,6.0,4.04,6.06,neutral,5.366666666666666,1 out of 3,['flashlight'],"['course', 'flashlight', 'mine']"
29,"Mi flashlight, es su flashlight, naturally.",6.0,4.04,6.06,neutral,5.366666666666666,2 out of 6,"['flashlight', 'flashlight']","['mi', 'flashlight', 'es', 'su', 'flashlight', 'naturally']"
30,Ses02M_script02_1_M011 [066.0700-071.2900]: How could we forget to bring it?,4.705,4.359999999999999,4.609999999999999,neutral,4.558333333333333,2 out of 3,"['forget', 'bring']","['could', 'forget', 'bring']"
31,I hope the moon stays out.,6.873333333333333,3.9533333333333336,6.2,positive,5.6755555555555555,3 out of 3,"['hope', 'moon', 'stay']","['hope', 'moon', 'stay']"
