Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses02F_script02_1_M000 [005.2900-008.8900]: What time is it?,5.6,3.41,4.36,neutral,4.456666666666667,1 out of 1,['time'],['time']
2,They're supposed to run around midnight.,5.953333333333333,4.206666666666667,5.6033333333333335,neutral,5.254444444444444,3 out of 4,"['suppose', 'run', 'midnight']","['suppose', 'run', 'around', 'midnight']"
3,"Ses02F_script02_1_M001 [008.9000-013.0300]: This is great, isn't it?",7.5,4.14,6.65,positive,6.096666666666667,1 out of 1,['great'],['great']
4,"Look at the night we've got here, couldn't be better.",6.24,3.6666666666666665,5.583333333333333,positive,5.163333333333333,3 out of 5,"['look', 'night', 'get']","['look', 'night', 'get', 'could', 'better']"
5,"Ses02F_script02_1_M002 [013.0700-019.1800]: I would have liked to have gone a little further up the coast to get away from the lights and the people, but I was afraid we'd miss it.",5.617,4.142,5.328,neutral,5.029,10 out of 11,"['would', 'like', 'go', 'little', 'coast', 'get', 'light', 'people', 'afraid', 'miss']","['would', 'like', 'go', 'little', 'coast', 'get', 'away', 'light', 'people', 'afraid', 'miss']"
6,Ses02F_script02_1_M003 [019.2200-020.3100]: How you doing?,nan,nan,nan,nan,nan,0,nan,[]
7,Ses02F_script02_1_F000 [020.1700-021.5100]: Fine.,6.5,3.86,5.78,positive,5.38,1 out of 1,['fine'],['fine']
8,Ses02F_script02_1_M004 [021.4000-026.6500]: Is that--no--is that just foam?,5.25,2.9,5.1,neutral,4.416666666666667,1 out of 1,['foam'],['foam']
9,I can't even tell.,4.73,6.140000000000001,5.06,neutral,5.31,1 out of 3,['neg-tell'],"['ca', 'even', 'tell']"
10,"Ses02F_script02_1_M005 [026.6900-031.4300]: Well, I guess we can tell, it probably isn't right?",4.376666666666666,4.24,4.223333333333334,neutral,4.28,3 out of 5,"['guess', 'tell', 'neg-right']","['well', 'guess', 'tell', 'probably', 'right']"
11,Probably be unmistakable don't you think?,4.71,5.29,4.68,neutral,4.8933333333333335,2 out of 3,"['unmistakable', 'neg-think']","['probably', 'unmistakable', 'think']"
12,Ses02F_script02_1_M006 [031.4700-039.6900]: How you doing?,nan,nan,nan,nan,nan,0,nan,[]
13,"Aw, you know what I forgot?",5.275,3.835,4.640000000000001,neutral,4.583333333333333,2 out of 3,"['know', 'forget']","['aw', 'know', 'forget']"
14,I forgot to bring my flashlight.,5.136666666666667,4.253333333333333,5.093333333333333,neutral,4.827777777777778,3 out of 3,"['forget', 'bring', 'flashlight']","['forget', 'bring', 'flashlight']"
15,"Oh, how could I be so stupid?",2.84,4.34,4.03,negative,3.736666666666667,1 out of 3,['stupid'],"['oh', 'could', 'stupid']"
16,I should've brought my flashlight.,5.84,4.165,5.89,neutral,5.298333333333333,2 out of 2,"['bring', 'flashlight']","['bring', 'flashlight']"
17,Ses02F_script02_1_F001 [039.3900-040.5700]: What flashlight?,6.0,4.04,6.06,neutral,5.366666666666666,1 out of 1,['flashlight'],['flashlight']
18,"Ses02F_script02_1_M007 [041.2400-044.0500]: You know, the flashlight, the silver one.",6.5975,3.4875,6.1125,positive,5.399166666666667,4 out of 4,"['know', 'flashlight', 'silver', 'one']","['know', 'flashlight', 'silver', 'one']"
19,There's only one isn't there?,6.09,2.67,5.56,positive,4.773333333333333,1 out of 1,['one'],['one']
20,Ses02F_script02_1_F002 [043.9900-045.7400]: That's not your flashlight.,4.0,5.96,3.9400000000000004,neutral,4.633333333333334,1 out of 1,['neg-flashlight'],['flashlight']
21,Ses02F_script02_1_M008 [046.0000-047.2000]: Who's is it?,nan,nan,nan,nan,nan,0,nan,[]
22,Ses02F_script02_1_F003 [046.9400-049.2100]: It's ours.,nan,nan,nan,nan,nan,0,nan,[]
23,It's mine too.,nan,nan,nan,nan,nan,0,nan,['mine']
24,"Ses02F_script02_1_M009 [049.0100-050.5000]: Oh, well sure.",6.64,3.48,6.82,positive,5.646666666666666,1 out of 3,['sure'],"['oh', 'well', 'sure']"
25,"Ses02F_script02_1_F004 [049.8400-055.5900]: You kept saying my flashlight, if as if somehow it's just yours.",6.076666666666667,3.966666666666667,6.216666666666667,positive,5.419999999999999,3 out of 4,"['keep', 'say', 'flashlight']","['keep', 'say', 'flashlight', 'somehow']"
26,I mean is that supposed to make me feel?,5.015,3.965,5.25,neutral,4.743333333333333,4 out of 4,"['mean', 'suppose', 'make', 'feel']","['mean', 'suppose', 'make', 'feel']"
27,"Ses02F_script02_1_M010 [055.3700-062.4000]: Right, of course.",7.32,5.0,7.16,positive,6.493333333333333,1 out of 2,['right'],"['right', 'course']"
28,Our flashlight.,6.0,4.04,6.06,neutral,5.366666666666666,1 out of 1,['flashlight'],['flashlight']
29,Mine and yours.,nan,nan,nan,nan,nan,0,nan,['mine']
30,"I mean, me flashlight is su flashlight naturally.",4.8100000000000005,4.296666666666667,5.43,neutral,4.845555555555555,3 out of 5,"['mean', 'flashlight', 'flashlight']","['mean', 'flashlight', 'su', 'flashlight', 'naturally']"
31,Ses02F_script02_1_M011 [062.5000-067.4800]: How could we forget to bring it?,4.705,4.359999999999999,4.609999999999999,neutral,4.558333333333333,2 out of 3,"['forget', 'bring']","['could', 'forget', 'bring']"
32,I hope the moon stays out.,6.873333333333333,3.9533333333333336,6.2,positive,5.6755555555555555,3 out of 3,"['hope', 'moon', 'stay']","['hope', 'moon', 'stay']"
33,"Ses02F_script02_1_M012 [068.1500-072.9000]: I wonder, do they always run during a full moon?",6.5225,4.1325,6.0125,positive,5.555833333333333,4 out of 5,"['wonder', 'run', 'full', 'moon']","['wonder', 'always', 'run', 'full', 'moon']"
34,I can't remember if it was full last year.,5.083333333333333,4.556666666666667,5.1866666666666665,neutral,4.942222222222223,3 out of 5,"['neg-remember', 'full', 'year']","['ca', 'remember', 'full', 'last', 'year']"
35,Do you remember?,6.5,3.14,6.31,positive,5.316666666666666,1 out of 1,['remember'],['remember']
36,Ses02F_script02_1_F005 [072.6900-073.9700]: Yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
37,Ses02F_script02_1_M013 [074.1600-079.7100]: You cold?,4.32,3.55,5.17,neutral,4.346666666666667,1 out of 1,['cold'],['cold']
38,Do you want my jacket?,5.93,4.32,6.14,neutral,5.463333333333334,2 out of 2,"['want', 'jacket']","['want', 'jacket']"
39,"Oh, we should've brought the blanket.",6.365,3.26,6.234999999999999,positive,5.286666666666666,2 out of 3,"['bring', 'blanket']","['oh', 'bring', 'blanket']"
40,Our blanket.,7.05,2.23,6.75,positive,5.343333333333334,1 out of 1,['blanket'],['blanket']
41,"Ses02F_script02_1_M014 [080.2700-085.8500]: This is great, isn't it?",7.5,4.14,6.65,positive,6.096666666666667,1 out of 1,['great'],['great']
42,A six pack would be just the ticket right now.,5.782,4.008,5.946,neutral,5.245333333333333,5 out of 5,"['six', 'pack', 'would', 'ticket', 'right']","['six', 'pack', 'would', 'ticket', 'right']"
43,Ses02F_script02_1_M015 [085.9000-091.2500]: I can't believe I forgot.,4.609999999999999,6.12,4.970000000000001,neutral,5.233333333333333,2 out of 3,"['neg-believe', 'neg-forget']","['ca', 'believe', 'forget']"
44,I'm like a kid.,7.335000000000001,4.555,5.555,positive,5.815,2 out of 2,"['like', 'kid']","['like', 'kid']"
45,It's amazing I got out of the house with my fly zipped.,6.4239999999999995,4.562,5.768,positive,5.584666666666667,5 out of 5,"['amazing', 'get', 'house', 'fly', 'zip']","['amazing', 'get', 'house', 'fly', 'zip']"
46,Ses02F_script02_1_M016 [093.4500-098.2100]: You think they can hear us talk?,6.666666666666666,3.5833333333333335,6.55,positive,5.6000000000000005,3 out of 4,"['think', 'hear', 'talk']","['think', 'hear', 'us', 'talk']"
47,Or feel the vibrations in the sand when we move around?,5.7275,4.2700000000000005,5.2175,neutral,5.071666666666666,4 out of 5,"['feel', 'vibration', 'sand', 'move']","['feel', 'vibration', 'sand', 'move', 'around']"
48,Ses02F_script02_1_F006 [098.2900-099.7700]: I'm cold.,4.32,3.55,5.17,neutral,4.346666666666667,1 out of 1,['cold'],['cold']
49,Ses02F_script02_1_M017 [100.6000-102.0300]: Do you want my jacket?,5.93,4.32,6.14,neutral,5.463333333333334,2 out of 2,"['want', 'jacket']","['want', 'jacket']"
50,"Ses02F_script02_1_F007 [102.2100-104.8400]: It's after eleven, let's just go home.",6.1875,3.6,5.84,positive,5.2091666666666665,4 out of 4,"['eleven', 'let', 'go', 'home']","['eleven', 'let', 'go', 'home']"
51,Ses02F_script02_1_M018 [105.1600-111.8200]: Are you kidding?,7.23,4.71,4.83,positive,5.590000000000001,1 out of 1,['kid'],['kid']
52,We'd miss it.,4.1,3.9,5.12,neutral,4.373333333333334,1 out of 1,['miss'],['miss']
53,We just got here.,6.09,3.67,5.65,positive,5.136666666666667,1 out of 1,['get'],['get']
54,What's the point of coming down here if we just turn around and go home.,6.0680000000000005,3.91,6.038,positive,5.338666666666668,5 out of 6,"['point', 'come', 'turn', 'go', 'home']","['point', 'come', 'turn', 'around', 'go', 'home']"
55,Ses02F_script02_1_F008 [111.1200-113.5500]: There is no point in coming down here.,4.455,6.285,3.895,neutral,4.878333333333333,2 out of 2,"['neg-point', 'neg-come']","['point', 'come']"
