Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,Ses03M_impro05b_F000 [005.2466-007.9300]: Can I help you sir?,6.2,4.3100000000000005,6.0,positive,5.503333333333334,2 out of 2,"['help', 'sir']","['help', 'sir']"
2,Ses03M_impro05b_M000 [007.2600-010.2500]: Yeah.,nan,nan,nan,nan,nan,0,nan,['yeah']
3,Ses03M_impro05b_M001 [010.5900-016.9100]: I've been here for four hours and I don't know where one piece of my luggage is,4.636666666666667,4.696666666666666,5.181666666666667,neutral,4.838333333333333,6 out of 6,"['four', 'hour', 'neg-know', 'neg-one', 'piece', 'luggage']","['four', 'hour', 'know', 'one', 'piece', 'luggage']"
4,Ses03M_impro05b_F001 [015.9350-020.6125]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
5,Well let's...well I'm going to go ahead and check on that for you.,6.285,3.9525,5.3475,positive,5.195,4 out of 7,"['let', 'go', 'go', 'check']","['well', 'let', 'well', 'go', 'go', 'ahead', 'check']"
6,You're coming from...where are you coming from?,5.64,3.57,5.94,neutral,5.05,2 out of 2,"['come', 'come']","['come', 'come']"
7,Ses03M_impro05b_M002 [020.2800-021.7200]: Baltimore.,nan,nan,nan,nan,nan,0,nan,['baltimore']
8,Ses03M_impro05b_F002 [020.9400-023.4500]: Baltimore and this is a direct flight to LAX,5.43,3.87,5.68,neutral,4.993333333333333,3 out of 4,"['direct', 'flight', 'lax']","['baltimore', 'direct', 'flight', 'lax']"
9,Ses03M_impro05b_M003 [023.0900-024.4700]: Yes.,nan,nan,nan,nan,nan,0,nan,['yes']
10,Ses03M_impro05b_F003 [023.9000-026.1500]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
11,Let's look up here,5.95,3.235,5.97,neutral,5.051666666666667,2 out of 2,"['let', 'look']","['let', 'look']"
12,F:--okay-,nan,nan,nan,nan,nan,0,nan,"['f', 'okay']"
13,Ses03M_impro05b_M004 [025.8500-029.3500]: You know and they've looked it up before and it's not there.,6.385,3.5,5.83,positive,5.238333333333333,2 out of 2,"['know', 'look']","['know', 'look']"
14,Ses03M_impro05b_F004 [028.9100-030.6700]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
15,Well you um-...,nan,nan,nan,nan,nan,0,nan,"['well', 'um']"
16,Ses03M_impro05b_M005 [030.0900-033.0000]: Now what are you going to do for me different?,6.115,4.405,5.9,positive,5.473333333333334,2 out of 2,"['go', 'different']","['go', 'different']"
17,Hmm?,nan,nan,nan,nan,nan,0,nan,['hmm']
18,"Ses03M_impro05b_F005 [031.6400-038.2150]: What I can do for you is uh we can uh report lost, lost property.",4.4875,4.7825,5.1,neutral,4.79,4 out of 6,"['report', 'lose', 'lose', 'property']","['uh', 'uh', 'report', 'lose', 'lose', 'property']"
19,Ses03M_impro05b_M006 [037.8600-040.1200]: You can report lost property?,4.786666666666666,4.566666666666666,5.336666666666667,neutral,4.896666666666666,3 out of 3,"['report', 'lose', 'property']","['report', 'lose', 'property']"
20,Ses03M_impro05b_F006 [039.7300-040.7700]: Yes.,nan,nan,nan,nan,nan,0,nan,['yes']
21,Ses03M_impro05b_M007 [040.3100-051.4700]: Okay.,nan,nan,nan,nan,nan,0,nan,['okay']
22,"I'm leaving LA tomorrow for San Diego, driving there.",5.59,4.335000000000001,5.57,neutral,5.165,2 out of 6,"['leave', 'drive']","['leave', 'la', 'tomorrow', 'san', 'diego', 'drive']"
23,"So, I'm going to leave without all my lost property?",5.1475,4.88,5.467499999999999,neutral,5.165,4 out of 5,"['go', 'leave', 'lose', 'property']","['go', 'leave', 'without', 'lose', 'property']"
24,That's what you want me to do?,6.0,5.29,5.39,neutral,5.56,1 out of 1,['want'],['want']
25,um,nan,nan,nan,nan,nan,0,nan,['um']
26,"Ses03M_impro05b_F007 [050.0900-055.8900]: Well sir, if if...what I believe has happened is most of the flight was left--",5.758,3.954,5.6,neutral,5.104,5 out of 6,"['sir', 'believe', 'happen', 'flight', 'leave']","['well', 'sir', 'believe', 'happen', 'flight', 'leave']"
27,Ses03M_impro05b_F008 [055.9100-058.6350]: the luggage was left in Baltimore.,4.9350000000000005,4.115,5.445,neutral,4.831666666666667,2 out of 3,"['luggage', 'leave']","['luggage', 'leave', 'baltimore']"
28,Therefore--,nan,nan,nan,nan,nan,0,nan,['therefore']
29,Ses03M_impro05b_M008 [058.3200-060.0600]: Most of the...,nan,nan,nan,nan,nan,0,nan,[]
30,"Ses03M_impro05b_F009 [059.7475-062.1500]: Like the luggage, the luggage on the flight.",5.9825,4.025,5.6125,neutral,5.206666666666667,4 out of 4,"['like', 'luggage', 'luggage', 'flight']","['like', 'luggage', 'luggage', 'flight']"
31,Ses03M_impro05b_M009 [061.3900-064.8700]: Wow.,nan,nan,nan,nan,nan,0,nan,['wow']
32,This is an incompetent airline isn't it?,4.065,4.3100000000000005,3.865,neutral,4.08,2 out of 2,"['incompetent', 'airline']","['incompetent', 'airline']"
33,Are you--?,nan,nan,nan,nan,nan,0,nan,[]
34,Ses03M_impro05b_F010 [064.0600-068.1600]: No actually it was...this is the first time this has ever happened.,6.1433333333333335,3.9133333333333336,5.423333333333334,positive,5.16,3 out of 5,"['first', 'time', 'happen']","['actually', 'first', 'time', 'ever', 'happen']"
35,I don't know what happened--,3.84,6.665,4.345,negative,4.949999999999999,2 out of 2,"['neg-know', 'neg-happen']","['know', 'happen']"
36,"Ses03M_impro05b_M010 [066.7200-072.4400]: Are you going to refund us for our luggage, refund us for our tickets for this?",6.158,4.496,5.73,positive,5.461333333333333,5 out of 7,"['go', 'refund', 'luggage', 'refund', 'ticket']","['go', 'refund', 'us', 'luggage', 'refund', 'us', 'ticket']"
37,Ses03M_impro05b_FXX0 [068.9807-070.2483]: We- I mean-,2.43,4.81,4.17,negative,3.8033333333333332,1 out of 1,['mean'],['mean']
38,"Ses03M_impro05b_F011 [071.0900-077.8100]: Well, we can give you um- hotel lodging for a night if that--",7.003333333333333,4.23,5.51,positive,5.5811111111111105,3 out of 6,"['give', 'hotel', 'night']","['well', 'give', 'um', 'hotel', 'lodging', 'night']"
