Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,Average VAD,# Words Found,Found Words,All Words
1,"Ses05F_impro02_F000 [005.1700-007.6605]: baby, I need you to sit down.",5.98,3.9433333333333334,5.3533333333333335,neutral,5.092222222222222,3 out of 3,"['baby', 'need', 'sit']","['baby', 'need', 'sit']"
2,Ses05F_impro02_M000 [007.6018-010.4300]: What is it?,nan,nan,nan,nan,nan,0,nan,[]
3,Ses05F_impro02_F001 [012.3000-014.4800]: um.,nan,nan,nan,nan,nan,0,nan,['um']
4,Ses05F_impro02_M001 [015.5400-018.2200]: You can say it.,5.91,4.43,6.88,neutral,5.739999999999999,1 out of 1,['say'],['say']
5,Ses05F_impro02_F002 [019.0000-024.6600]: I'm sorry.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
6,It's just a lot ahh to explain.,5.41,4.0,6.22,neutral,5.21,1 out of 3,['explain'],"['lot', 'ahh', 'explain']"
7,ahh I got a call--,6.135,3.48,5.630000000000001,positive,5.081666666666667,2 out of 3,"['get', 'call']","['ahh', 'get', 'call']"
8,Ses05F_impro02_M002 [023.2800-024.8100]: Are you all right?,7.32,5.0,7.16,positive,6.493333333333333,1 out of 1,['right'],['right']
9,"Ses05F_impro02_F003 [024.7000-028.4600]: Yeah, um everything's fine so far.",6.5,3.86,5.78,positive,5.38,1 out of 5,['fine'],"['yeah', 'um', 'everything', 'fine', 'far']"
10,um,nan,nan,nan,nan,nan,0,nan,['um']
11,"Ses05F_impro02_F004 [028.8000-031.1014]: I got a call today,",6.135,3.48,5.630000000000001,positive,5.081666666666667,2 out of 3,"['get', 'call']","['get', 'call', 'today']"
12,Ses05F_impro02_FXX0 [031.6581-032.7521]: And um--,nan,nan,nan,nan,nan,0,nan,['um']
13,Ses05F_impro02_M003 [031.5600-033.2600]: okay.,nan,nan,nan,nan,nan,0,nan,['okay']
14,Ses05F_impro02_F005 [033.6400-037.1300]: I'm going to need to go overseas for a while.,6.03,4.463333333333334,5.24,positive,5.2444444444444445,3 out of 4,"['go', 'need', 'go']","['go', 'need', 'go', 'overseas']"
15,Ses05F_impro02_M004 [038.4900-040.6800]: You got called up.,6.135,3.48,5.630000000000001,positive,5.081666666666667,2 out of 2,"['get', 'call']","['get', 'call']"
16,Ses05F_impro02_F006 [040.9200-042.2900]: Iraq.,nan,nan,nan,nan,nan,0,nan,['iraq']
17,Ses05F_impro02_M005 [041.8900-044.9700]: I thought you said this wasn't going to happen for at least a year.,5.304,4.644,5.6659999999999995,neutral,5.204666666666667,5 out of 6,"['think', 'say', 'neg-go', 'neg-happen', 'year']","['think', 'say', 'go', 'happen', 'least', 'year']"
18,Ses05F_impro02_F007 [044.4900-047.6500]: I'm sorry.,4.81,4.62,5.65,neutral,5.026666666666666,1 out of 1,['sorry'],['sorry']
19,I thought so.,6.68,3.75,6.5,positive,5.6433333333333335,1 out of 1,['think'],['think']
20,"""sigh""",4.29,2.91,5.0,neutral,4.066666666666666,1 out of 1,['sigh'],['sigh']
21,Ses05F_impro02_M006 [050.1000-052.3200]: What am I going to do?,6.32,4.86,5.33,positive,5.503333333333333,1 out of 1,['go'],['go']
22,"Ses05F_impro02_F008 [051.7400-054.4200]: I don't know ""sigh"".",4.445,6.925,4.609999999999999,neutral,5.326666666666667,2 out of 2,"['neg-know', 'neg-sigh']","['know', 'sigh']"
23,Ses05F_impro02_M007 [054.1800-059.5700]: I can't do this by myself.,nan,nan,nan,nan,nan,0,nan,['ca']
24,I I don't know how to do this.,3.1799999999999997,6.76,4.22,negative,4.72,1 out of 1,['neg-know'],['know']
25,You know how to do this.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
26,Ses05F_impro02_M008 [060.3500-061.9000]: The kids-,7.23,4.71,4.83,positive,5.590000000000001,1 out of 1,['kid'],['kid']
27,Ses05F_impro02_F009 [061.5700-065.7300]: I know.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
28,I know.,6.82,3.24,5.78,positive,5.28,1 out of 1,['know'],['know']
29,Ses05F_impro02_M009 [065.1400-069.6600]: Nobody's even here.,nan,nan,nan,nan,nan,0,nan,"['nobody', 'even']"
